uniprot,pathway
P11766,hsa00830
P11766,hsa00010
P11766,hsa01100
P11766,hsa04936
P40394,hsa00350
P40394,hsa00010
P40394,hsa04936
P40394,hsa00830
P40394,hsa00071
P40394,hsa00980
P40394,hsa01100
P40394,hsa00982
P40394,hsa00620
P21964,hsa00350
P21964,hsa04728
P21964,hsa00140
P21964,hsa01100
P13073,hsa05022
P13073,hsa04932
P13073,hsa05208
P13073,hsa05014
P13073,hsa04714
P13073,hsa05012
P13073,hsa04260
P13073,hsa00190
P13073,hsa05415
P13073,hsa05020
P13073,hsa05016
P13073,hsa05010
P13073,hsa01100
P10606,hsa05012
P10606,hsa04714
P10606,hsa05415
P10606,hsa05020
P10606,hsa05014
P10606,hsa05208
P10606,hsa05010
P10606,hsa04260
P10606,hsa04932
P10606,hsa05016
P10606,hsa05022
P10606,hsa01100
P10606,hsa00190
Q86YN6,hsa04931
Q02221,hsa05010
Q02221,hsa05016
Q02221,hsa01100
Q02221,hsa05014
Q02221,hsa05020
Q02221,hsa05012
Q02221,hsa04714
Q02221,hsa05415
Q02221,hsa05208
Q02221,hsa05022
Q02221,hsa00190
Q02221,hsa04260
Q02221,hsa04932
P30542,hsa04923
P30542,hsa05032
P30542,hsa04080
P30542,hsa04924
P30542,hsa04024
P30542,hsa04071
P30542,hsa04022
P14854,hsa05020
P14854,hsa05014
P14854,hsa00190
P14854,hsa04260
P14854,hsa04932
P14854,hsa04714
P14854,hsa05010
P14854,hsa05208
P14854,hsa05415
P14854,hsa05012
P14854,hsa01100
P14854,hsa05022
P14854,hsa05016
P09669,hsa05020
P09669,hsa04260
P09669,hsa05415
P09669,hsa01100
P09669,hsa00190
P09669,hsa04714
P09669,hsa05208
P09669,hsa05014
P09669,hsa05012
P09669,hsa05022
P09669,hsa05010
P09669,hsa04932
P09669,hsa05016
P24310,hsa05208
P24310,hsa01100
P24310,hsa04260
P24310,hsa05016
P24310,hsa05010
P24310,hsa00190
P24310,hsa05012
P24310,hsa05415
P24310,hsa04932
P24310,hsa05020
P24310,hsa04714
P24310,hsa05022
P24310,hsa05014
P24311,hsa05010
P24311,hsa05020
P24311,hsa05208
P24311,hsa05415
P24311,hsa00190
P24311,hsa05016
P24311,hsa04260
P24311,hsa01100
P24311,hsa04932
P24311,hsa05022
P24311,hsa04714
P24311,hsa05014
P24311,hsa05012
P29274,hsa04020
P29274,hsa04270
P29274,hsa04024
P29274,hsa05012
P29274,hsa04080
P29274,hsa05034
P29274,hsa04015
P15954,hsa05010
P15954,hsa05012
P15954,hsa00190
P15954,hsa04932
P15954,hsa05415
P15954,hsa04260
P15954,hsa04714
P15954,hsa05208
P15954,hsa01100
P15954,hsa05020
P15954,hsa05014
P15954,hsa05022
P15954,hsa05016
P10176,hsa04714
P10176,hsa05415
P10176,hsa05014
P10176,hsa01100
