uniprot,pathway_id
P27361,hsa04261
Q15759,hsa04261
O15264,hsa04261
Q8WXS5,hsa04261
P62955,hsa04261
Q9BXT2,hsa04261
P10415,hsa04261
Q92736,hsa04261
P53778,hsa04261
Q07699,hsa04261
Q8IWT1,hsa04261
Q14524,hsa04261
Q01118,hsa04261
P32418,hsa04261
P19634,hsa04261
P63316,hsa04261
Q13936,hsa04261
Q01668,hsa04261
O60840,hsa04261
Q13698,hsa04261
P54289,hsa04261
Q02641,hsa04261
Q08289,hsa04261
P54284,hsa04261
O00305,hsa04261
Q06432,hsa04261
P0DP23,hsa04261
Q9UQM7,hsa04261
Q13554,hsa04261
Q13557,hsa04261
Q13555,hsa04261
Q7Z3S7,hsa04261
P07550,R-HSA-390696
P08588,R-HSA-390696
P08913,R-HSA-390696
P13945,R-HSA-390696
P18089,R-HSA-390696
P18825,R-HSA-390696
P25100,R-HSA-390696
P35348,R-HSA-390696
P35368,R-HSA-390696
P04271,R-HSA-879415
P05067,R-HSA-879415
P09429,R-HSA-879415
P27361,R-HSA-879415
P28482,R-HSA-879415
P80511,R-HSA-879415
O14880,R-HSA-5423646
P05177,R-HSA-5423646
P08684,R-HSA-5423646
P10620,R-HSA-5423646
P16444,R-HSA-5423646
P19440,R-HSA-5423646
P20815,R-HSA-5423646
Q99735,R-HSA-5423646
P69905,hsa05143
P68871,hsa05143
P00739,hsa05143
P02647,hsa05143
P05362,hsa05143
P01579,hsa05143
P01584,hsa05143
P05231,hsa05143
P14902,hsa05143
P01042,hsa05143
Q9NR96,hsa05143
P17252,hsa05143
P05771,hsa05143
P05129,hsa05143
P16581,hsa05143
P01375,hsa05143
P19320,hsa05143
O14791,hsa05143
P11802,hsa04933
Q16539,hsa04933
P04839,hsa04933
P30556,hsa04933
P31749,hsa04933
P02751,hsa04933
Q9Y5S8,hsa04933
P05362,hsa04933
P01584,hsa04933
P05231,hsa04933
O60674,hsa04933
P05412,hsa04933
P08253,hsa04933
O95644,hsa04933
P19838,hsa04933
P29474,hsa04933
P05121,hsa04933
P42336,hsa04933
P42338,hsa04933
P11309,hsa04933
O00329,hsa04933
P27986,hsa04933
O00459,hsa04933
P17252,hsa04933
P05771,hsa04933
Q05655,hsa04933
Q02156,hsa04933
Q05513,hsa04933
P28482,hsa04933
P27361,hsa04933
P45983,hsa04933
Q15759,hsa04933
P45984,hsa04933
P53779,hsa04933
O15264,hsa04933
P63000,hsa04933
P24385,hsa04933
P10415,hsa04933
Q04206,hsa04933
P53778,hsa04933
P13500,hsa04933
P16581,hsa04933
P51692,hsa04933
P01137,hsa04933
P36897,hsa04933
P37173,hsa04933
P07204,hsa04933
P01375,hsa04933
P19320,hsa04933
P15692,hsa04933
P42574,hsa04933
Q92569,hsa04933
P07900,R-HSA-9646399
P13569,R-HSA-9646399
P68366,R-HSA-9646399
P68371,R-HSA-9646399
Q13509,R-HSA-9646399
Q71U36,R-HSA-9646399
Q99497,R-HSA-9646399
Q9H4B7,R-HSA-9646399
Q9UBN7,R-HSA-9646399
Q96A70,R-HSA-351143
P31749,R-HSA-211163
O15111,R-HSA-198323
P31749,R-HSA-198323
P38936,R-HSA-198323
P49840,R-HSA-198323
P49841,R-HSA-198323
P55211,R-HSA-198323
Q00987,R-HSA-198323
P16220,R-HSA-198693
P31749,R-HSA-198693
P31327,hsa00250
P80404,hsa00250
P21549,hsa00250
Q04609,hsa00250
Q99259,hsa00250
Q05329,hsa00250
Q96RQ9,hsa00250
Q9UI32,hsa00250
O94925,hsa00250
P00367,hsa00250
P49448,hsa00250
P15104,hsa00250
P17174,hsa00250
P00505,hsa00250
P08243,hsa00250
P45381,hsa00250
Q06203,hsa00250
Q9BYV1,hsa00250
P51649,hsa00250
Q8TD30,hsa00250
P30038,hsa00250
Q15750,hsa04936
Q96RR4,hsa04936
O15111,hsa04936
P07327,hsa04936
P00325,hsa04936
P00326,hsa04936
P08319,hsa04936
P11766,hsa04936
P40394,hsa04936
P50416,hsa04936
Q16539,hsa04936
P35222,hsa04936
P05181,hsa04936
P31749,hsa04936
P05091,hsa04936
P30837,hsa04936
P49327,hsa04936
P49189,hsa04936
P51648,hsa04936
Q9Y6Y9,hsa04936
Q9UHD2,hsa04936
P49841,hsa04936
Q13085,hsa04936
O00763,hsa04936
P11310,hsa04936
O14920,hsa04936
P01584,hsa04936
P05231,hsa04936
P51617,hsa04936
P19838,hsa04936
P25963,hsa04936
P49419,hsa04936
Q15067,hsa04936
Q9NWZ3,hsa04936
Q9UJU2,hsa04936
Q9UGJ0,hsa04936
Q9UGI9,hsa04936
Q07869,hsa04936
Q13131,hsa04936
P54646,hsa04936
Q9Y478,hsa04936
O43741,hsa04936
P54619,hsa04936
P45983,hsa04936
Q15759,hsa04936
P45984,hsa04936
P53779,hsa04936
O15264,hsa04936
P46734,hsa04936
P52564,hsa04936
P24385,hsa04936
Q04206,hsa04936
P53778,hsa04936
P36956,hsa04936
O00206,hsa04936
P01375,hsa04936
P02746,hsa04936
P02747,hsa04936
P01024,hsa04936
P0C0L5,hsa04936
P01031,hsa04936
P42574,hsa04936
Q13546,hsa04936
Q14164,hsa04936
Q9UBN7,hsa05034
Q9UQL6,hsa05034
Q96RR4,hsa05034
O95622,hsa05034
Q8TCU5,hsa05034
O60391,hsa05034
P29274,hsa05034
P29275,hsa05034
P16220,hsa05034
P15336,hsa05034
P20711,hsa05034
P21728,hsa05034
P14416,hsa05034
Q99808,hsa05034
Q05586,hsa05034
Q12879,hsa05034
Q13224,hsa05034
Q14957,hsa05034
O15399,hsa05034
Q13547,hsa05034
Q92769,hsa05034
Q14542,hsa05034
P21397,hsa05034
P27338,hsa05034
P18848,hsa05034
P01303,hsa05034
Q16620,hsa05034
Q8WUI4,hsa05034
P59768,hsa05034
P17612,hsa05034
P22694,hsa05034
Q9BY41,hsa05034
P28482,hsa05034
P27361,hsa05034
Q02750,hsa05034
P04049,hsa05034
P23560,hsa05034
Q01959,hsa05034
P54219,hsa05034
Q05940,hsa05034
P15056,hsa05034
P07101,hsa05034
Q96DB2,hsa05034
P0DP23,hsa05034
P62807,hsa05034
Q969S8,hsa05034
Q8N5S9,hsa05034
O15379,hsa05034
Q9UKV0,hsa05034
P56524,hsa05034
P80365,hsa04960
P01308,hsa04960
P06213,hsa04960
P48048,hsa04960
P08235,hsa04960
P05023,hsa04960
P50993,hsa04960
P13637,hsa04960
P54710,hsa04960
O15530,hsa04960
P42336,hsa04960
P42338,hsa04960
O00329,hsa04960
P27986,hsa04960
O00459,hsa04960
P17252,hsa04960
P05771,hsa04960
P05129,hsa04960
P28482,hsa04960
P27361,hsa04960
P37088,hsa04960
P51168,hsa04960
P51170,hsa04960
Q92569,hsa04960
Q08828,hsa04925
Q08462,hsa04925
O95622,hsa04925
P16220,hsa04925
P15336,hsa04925
P05108,hsa04925
P19099,hsa04925
P08686,hsa04925
P30556,hsa04925
P14060,hsa04925
P26439,hsa04925
Q14643,hsa04925
Q14571,hsa04925
Q14573,hsa04925
P48544,hsa04925
O14649,hsa04925
Q01718,hsa04925
P18846,hsa04925
P18848,hsa04925
P05023,hsa04925
P50993,hsa04925
P13637,hsa04925
P16066,hsa04925
P20020,hsa04925
Q01814,hsa04925
Q16720,hsa04925
P23634,hsa04925
Q9NPC2,hsa04925
O00408,hsa04925
P01189,hsa04925
P17612,hsa04925
P22694,hsa04925
P17252,hsa04925
P05771,hsa04925
Q02156,hsa04925
P05129,hsa04925
