Drug,Protein
DB06202,Q92731
DB06401,Q92731
DB13952,Q92731
DB13954,Q92731
DB00890,Q92731
DB00675,Q92731
DB00655,Q92731
DB00006,P00734
DB06695,P00734
DB09030,P25116
DB09075,P00742
DB06228,P00742
DB06605,P00742
DB00822,P05091
DB00822,P30837
DB00399,P14324
DB00282,P14324
DB00884,P14324
DB00822,P51648
DB08896,P11362
DB09078,P11362
DB09079,P11362
DB09079,P22607
DB09078,P22607
DB09079,P21802
DB09078,P21802
DB09078,P22455
DB08896,P17948
DB06626,P17948
DB09079,P17948
DB06589,P17948
DB09078,P17948
DB01268,P17948
DB01268,P36888
DB06595,P36888
DB00398,P36888
DB09079,P35916
DB06626,P35916
DB01268,P35916
DB06589,P35916
DB00398,P35916
DB09078,P35916
DB08896,P35916
DB00703,Q9ULX7
DB00869,Q9ULX7
DB01144,Q9ULX7
DB00819,Q9ULX7
DB09063,Q9UM73
DB11363,Q9UM73
DB08865,Q9UM73
DB00744,P09917
DB06287,P42345
DB01590,P42345
DB00877,P42345
DB01254,P00519
DB04868,P00519
DB00619,P00519
DB08901,P00519
DB06616,P00519
DB01254,P06241
DB00491,P10253
DB00284,P10253
DB00181,Q9UBS5
DB02530,Q9UBS5
DB00418,P14867
DB01544,P14867
DB01205,P14867
DB00842,P14867
DB01353,P14867
DB01198,P14867
DB01559,P14867
DB00312,P14867
DB01068,P14867
DB00186,P14867
DB00349,P14867
DB01437,P14867
DB00231,P14867
DB01588,P14867
DB00690,P14867
DB00292,P14867
DB02530,P14867
DB00273,P14867
DB00801,P14867
DB00628,P14867
DB00371,P14867
DB01595,P14867
DB01589,P14867
DB00818,P14867
DB00404,P14867
DB00849,P14867
DB00474,P14867
DB00306,P14867
DB06716,P14867
DB00683,P14867
DB01107,P14867
DB00897,P14867
DB00237,P14867
DB01558,P14867
DB01174,P14867
DB01351,P14867
DB00829,P14867
DB00962,P14867
DB01215,P14867
DB00475,P14867
DB01154,P14867
DB00371,P47869
DB00628,P47869
DB00842,P47869
DB01437,P47869
DB00829,P47869
DB00818,P47869
DB01588,P47869
DB01595,P47869
DB01559,P47869
DB01353,P47869
DB01154,P47869
DB00306,P47869
DB00231,P47869
DB01544,P47869
DB01558,P47869
DB01205,P47869
DB00273,P47869
DB02530,P47869
DB01589,P47869
DB00418,P47869
DB00312,P47869
DB00683,P47869
DB00237,P47869
DB01174,P47869
DB00349,P47869
DB00801,P47869
DB00849,P47869
DB01198,P47869
DB01215,P47869
DB00690,P47869
DB01351,P47869
DB00475,P47869
DB00404,P47869
DB06716,P47869
DB00897,P47869
DB01068,P47869
DB00186,P47869
DB00231,P34903
DB00306,P34903
DB01437,P34903
DB01559,P34903
DB00237,P34903
DB01558,P34903
DB01588,P34903
DB00849,P34903
DB00897,P34903
DB00818,P34903
DB00273,P34903
DB00829,P34903
DB01589,P34903
DB00690,P34903
DB01174,P34903
DB00475,P34903
DB00842,P34903
DB01198,P34903
DB01205,P34903
DB00404,P34903
DB01351,P34903
DB00683,P34903
DB01068,P34903
DB00628,P34903
DB02530,P34903
DB01353,P34903
DB00371,P34903
DB00801,P34903
DB01544,P34903
DB00418,P34903
DB00349,P34903
DB00186,P34903
DB01595,P34903
DB01154,P34903
DB01215,P34903
DB06716,P34903
DB00312,P34903
DB02530,P48169
DB00404,P48169
DB00306,P48169
DB00690,P48169
DB00371,P48169
DB01437,P48169
DB00273,P48169
DB00683,P48169
DB01558,P48169
DB01174,P48169
DB01215,P48169
DB01589,P48169
DB00349,P48169
DB01351,P48169
DB00418,P48169
DB00628,P48169
DB00842,P48169
DB00237,P48169
DB01154,P48169
DB00829,P48169
DB00186,P48169
DB00897,P48169
DB00818,P48169
DB01559,P48169
DB00801,P48169
DB01544,P48169
DB00475,P48169
DB01353,P48169
DB00312,P48169
DB01595,P48169
DB01198,P48169
DB00231,P48169
DB00849,P48169
DB01068,P48169
DB06716,P48169
DB01588,P48169
DB01205,P48169
DB00186,P31644
DB01558,P31644
DB01205,P31644
DB00231,P31644
DB00306,P31644
