uniprot,pathway
O60674,R-HSA-9006335
O60674,R-HSA-9020591
O60674,R-HSA-9020933
O60674,R-HSA-9020956
O60674,R-HSA-9027276
O60674,R-HSA-9027277
O60674,R-HSA-9027283
O60674,R-HSA-9027284
O60674,R-HSA-912526
O60674,R-HSA-9649948
O60674,R-HSA-9656223
O60674,R-HSA-9670439
O60674,R-HSA-9674555
O60674,R-HSA-9679191
O60674,R-HSA-9705462
O60674,R-HSA-9732724
O60674,R-HSA-982772
O60674,R-HSA-983231
O60701,R-HSA-173599
O60706,R-HSA-1296025
O60706,R-HSA-382556
O60706,R-HSA-5578775
O60706,R-HSA-5678420
O60760,R-HSA-156590
O60760,R-HSA-2162123
O60894,R-HSA-418555
O60894,R-HSA-419812
O60895,R-HSA-418555
O60895,R-HSA-419812
O60896,R-HSA-418555
O60896,R-HSA-419812
O60931,R-HSA-425393
O60931,R-HSA-5223345
O60939,R-HSA-445095
O60939,R-HSA-5576892
O60939,R-HSA-9717207
O75116,R-HSA-3928662
O75116,R-HSA-3928663
O75116,R-HSA-416482
O75116,R-HSA-416572
O75116,R-HSA-4420097
O75116,R-HSA-5627117
O75116,R-HSA-8980692
O75116,R-HSA-9013026
O75116,R-HSA-9013106
O75116,R-HSA-9013407
O75116,R-HSA-9013422
O75116,R-HSA-9679191
O75185,R-HSA-936837
O75251,R-HSA-611105
O75251,R-HSA-6799198
O75306,R-HSA-611105
O75306,R-HSA-6799198
O75311,R-HSA-112314
O75348,R-HSA-1222556
O75348,R-HSA-77387
O75348,R-HSA-917977
O75348,R-HSA-9639288
O75348,R-HSA-983712
O75380,R-HSA-611105
O75380,R-HSA-6799198
O75385,R-HSA-1632852
O75385,R-HSA-5357905
O75385,R-HSA-8854214
O75385,R-HSA-8876198
O75385,R-HSA-8934903
O75390,R-HSA-1268020
O75390,R-HSA-71403
O75438,R-HSA-611105
O75438,R-HSA-6799198
O75460,R-HSA-381070
O75489,R-HSA-611105
O75489,R-HSA-6799198
O75489,R-HSA-9013408
O75600,R-HSA-8849175
O75636,R-HSA-166662
O75636,R-HSA-166663
O75636,R-HSA-2855086
O75715,R-HSA-3299685
O75747,R-HSA-1660499
O75747,R-HSA-1660514
O75762,R-HSA-3295583
O75838,R-HSA-9662360
O75838,R-HSA-9662361
O75874,R-HSA-2978092
O75874,R-HSA-389542
O75874,R-HSA-6798695
O75874,R-HSA-9033241
O75874,R-HSA-9818025
O75880,R-HSA-5628897
O75880,R-HSA-611105
O75880,R-HSA-9707564
O75899,R-HSA-1296041
O75899,R-HSA-418594
O75899,R-HSA-420499
O75899,R-HSA-977444
O75899,R-HSA-997272
O75911,R-HSA-2187335
O75911,R-HSA-5365859
O75912,R-HSA-114508
O75914,R-HSA-202433
O75914,R-HSA-389359
O75914,R-HSA-3928664
O75914,R-HSA-399954
O75914,R-HSA-428540
O75914,R-HSA-5218920
O75914,R-HSA-5621575
O75914,R-HSA-5627123
O75914,R-HSA-5687128
O75914,R-HSA-9013148
O75914,R-HSA-9013149
O75914,R-HSA-9013409
O75914,R-HSA-9013420
O75936,R-HSA-71262
O76074,R-HSA-418457
O76074,R-HSA-445355
O76074,R-HSA-9013422
O76082,R-HSA-200425
O76082,R-HSA-549127
O76082,R-HSA-5619053
O76083,R-HSA-418457
O94760,R-HSA-203615
O94788,R-HSA-5365859
O94804,R-HSA-6798695
O94804,R-HSA-8980692
O94804,R-HSA-9013026
O94804,R-HSA-9013106
O94925,R-HSA-210500
O94925,R-HSA-5628897
O94925,R-HSA-8964539
O95069,R-HSA-1299503
O95069,R-HSA-5576886
O95139,R-HSA-611105
O95139,R-HSA-6799198
O95167,R-HSA-611105
O95167,R-HSA-6799198
O95168,R-HSA-611105
O95168,R-HSA-6799198
O95169,R-HSA-1268020
O95169,R-HSA-611105
O95169,R-HSA-6799198
O95178,R-HSA-611105
O95178,R-HSA-6799198
O95180,R-HSA-419037
O95180,R-HSA-445355
O95182,R-HSA-611105
O95182,R-HSA-6799198
O95237,R-HSA-2453864
O95237,R-HSA-2453902
O95237,R-HSA-975634
O95259,R-HSA-1296072
O95263,R-HSA-418555
O95264,R-HSA-112314
O95298,R-HSA-611105
O95298,R-HSA-6798695
O95298,R-HSA-6799198
O95299,R-HSA-611105
O95299,R-HSA-6799198
O95342,R-HSA-159418
O95342,R-HSA-193368
O95342,R-HSA-5678520
O95363,R-HSA-379726
O95470,R-HSA-1660661
O95477,R-HSA-1989781
O95477,R-HSA-5682113
O95477,R-HSA-8963896
O95477,R-HSA-9029569
O95622,R-HSA-163359
O95622,R-HSA-163615
O95622,R-HSA-164378
O95622,R-HSA-170660
O95622,R-HSA-170670
O95622,R-HSA-381676
O95622,R-HSA-400042
O95622,R-HSA-418555
O95622,R-HSA-418594
O95622,R-HSA-418597
O95622,R-HSA-432040
O95622,R-HSA-5610787
O95622,R-HSA-9634597
O95622,R-HSA-9660821
O95622,R-HSA-9664323
O95644,R-HSA-2025928
O95644,R-HSA-2871809
O95644,R-HSA-4086398
O95644,R-HSA-5607763
O95665,R-HSA-375276
O95665,R-HSA-416476
O95670,R-HSA-1222556
O95670,R-HSA-77387
O95670,R-HSA-917977
O95670,R-HSA-9639288
O95670,R-HSA-983712
O95718,R-HSA-383280
O95749,R-HSA-191273
O95749,R-HSA-2426168
O95819,R-HSA-2559580
O95835,R-HSA-2028269
O95864,R-HSA-2046105
O95864,R-HSA-2046106
O95907,R-HSA-210991
O95907,R-HSA-433692
O95907,R-HSA-70268
O95954,R-HSA-70921
O95977,R-HSA-418594
O95977,R-HSA-419408
O96000,R-HSA-611105
O96000,R-HSA-6799198
O96013,R-HSA-428540
O96013,R-HSA-9013148
O96013,R-HSA-9013149
O96013,R-HSA-9013404
O96013,R-HSA-9013406
O96013,R-HSA-9013407
O96013,R-HSA-9013408
O96013,R-HSA-9013409
O96013,R-HSA-9013420
O96013,R-HSA-9013423
O96013,R-HSA-9013424
O96017,R-HSA-5693565
O96017,R-HSA-6804756
O96017,R-HSA-6804757
O96017,R-HSA-6804760
O96017,R-HSA-69473
O96017,R-HSA-69541
O96017,R-HSA-69601
O96017,R-HSA-75035
P00325,R-HSA-71384
P00326,R-HSA-5365859
P00326,R-HSA-71384
P00338,R-HSA-70268
P00352,R-HSA-5365859
P00352,R-HSA-70350
P00352,R-HSA-71384
P00367,R-HSA-2151201
P00367,R-HSA-8964539
P00374,R-HSA-1474151
P00374,R-HSA-196757
P00374,R-HSA-69205
P00387,R-HSA-196836
P00387,R-HSA-211945
P00387,R-HSA-6798695
P00395,R-HSA-5628897
P00395,R-HSA-611105
P00395,R-HSA-9707564
P00403,R-HSA-5628897
P00403,R-HSA-611105
P00403,R-HSA-9707564
P00414,R-HSA-5628897
P00414,R-HSA-611105
P00414,R-HSA-9707564
P00439,R-HSA-2160456
P00439,R-HSA-8964208
P00441,R-HSA-114608
P00441,R-HSA-3299685
P00441,R-HSA-8950505
P00450,R-HSA-381426
P00450,R-HSA-425410
P00450,R-HSA-5619049
P00450,R-HSA-5619060
P00450,R-HSA-8957275
P00450,R-HSA-917937
P00491,R-HSA-6798695
P00491,R-HSA-74217
P00491,R-HSA-74259
P00491,R-HSA-9735763
P00491,R-HSA-9755088
P00492,R-HSA-74217
P00492,R-HSA-9734281
P00492,R-HSA-9748787
P00505,R-HSA-1614558
P00505,R-HSA-389661
P00505,R-HSA-70263
P00505,R-HSA-8963693
P00505,R-HSA-8964539
P00519,R-HSA-2029482
P00519,R-HSA-428890
P00519,R-HSA-525793
P00519,R-HSA-5663213
P00519,R-HSA-5685938
P00519,R-HSA-5693565
P00519,R-HSA-69231
P00519,R-HSA-8939236
P00519,R-HSA-8940973
P00519,R-HSA-9664422
P00519,R-HSA-983231
P00533,R-HSA-1227986
P00533,R-HSA-1236382
P00533,R-HSA-1236394
P00533,R-HSA-1250196
P00533,R-HSA-1251932
P00533,R-HSA-1257604
P00533,R-HSA-177929
P00533,R-HSA-179812
P00533,R-HSA-180292
P00533,R-HSA-180336
P00533,R-HSA-182971
P00533,R-HSA-1963640
P00533,R-HSA-1963642
P00533,R-HSA-212718
P00533,R-HSA-2179392
P00533,R-HSA-2219530
P00533,R-HSA-445144
P00533,R-HSA-5637810
P00533,R-HSA-5638303
P00533,R-HSA-5673001
P00533,R-HSA-6785631
P00533,R-HSA-6811558
P00533,R-HSA-8847993
P00533,R-HSA-8856825
P00533,R-HSA-8856828
P00533,R-HSA-8857538
P00533,R-HSA-8863795
P00533,R-HSA-8866910
P00533,R-HSA-9009391
P00533,R-HSA-9013507
P00533,R-HSA-9609690
P00533,R-HSA-9634638
P00533,R-HSA-9664565
P00533,R-HSA-9665348
P00533,R-HSA-9665686
P00558,R-HSA-70171
P00558,R-HSA-70263
P00558,R-HSA-9636667
P00734,R-HSA-140837
P00734,R-HSA-140875
P00734,R-HSA-159740
P00734,R-HSA-159763
P00734,R-HSA-159782
P00734,R-HSA-202733
P00734,R-HSA-375276
P00734,R-HSA-381426
P00734,R-HSA-416476
P00734,R-HSA-456926
P00734,R-HSA-76009
P00734,R-HSA-9657688
P00734,R-HSA-9672391
P00734,R-HSA-977606
P00736,R-HSA-166663
P00736,R-HSA-173623
P00736,R-HSA-977606
P00738,R-HSA-2168880
P00738,R-HSA-6798695
P00739,R-HSA-2168880
P00740,R-HSA-140834
P00740,R-HSA-140837
P00740,R-HSA-159740
P00740,R-HSA-159763
P00740,R-HSA-159782
P00740,R-HSA-9672383
P00740,R-HSA-9672396
P00740,R-HSA-9673202
P00740,R-HSA-9673218
P00740,R-HSA-9673221
P00740,R-HSA-9673240
P00742,R-HSA-140834
P00742,R-HSA-140837
P00742,R-HSA-140875
P00742,R-HSA-159740
P00742,R-HSA-159763
P00742,R-HSA-159782
P00742,R-HSA-9672383
P00742,R-HSA-9672396
P00742,R-HSA-9673202
P00747,R-HSA-114608
P00747,R-HSA-1474228
P00747,R-HSA-1592389
P00747,R-HSA-186797
P00747,R-HSA-381426
P00747,R-HSA-75205
P00748,R-HSA-140837
P00748,R-HSA-9657688
P00748,R-HSA-9657689
P00749,R-HSA-6798695
P00749,R-HSA-75205
P00750,R-HSA-186797
P00750,R-HSA-75205
P00751,R-HSA-173736
P00751,R-HSA-174577
P00751,R-HSA-977606
P00797,R-HSA-2022377
P00813,R-HSA-74217
P00813,R-HSA-9734735
P00813,R-HSA-9755088
P00846,R-HSA-163210
P00846,R-HSA-8949613
P00915,R-HSA-1237044
