drugbank,uniprot
DB01092,P50993
DB01092,P13637
DB01095,P04035
DB01095,Q92769
DB01097,Q02127
DB01097,Q14289
DB01098,P04035
DB01099,P26358
DB01101,P04818
DB01108,P14060
DB01108,P26439
DB01110,P29474
DB01110,P35228
DB01113,Q07343
DB01113,Q9Y233
DB01117,Q02127
DB01119,P00915
DB01119,P00918
DB01119,P05023
DB01122,P22303
DB01125,P38435
DB01126,P31213
DB01126,P18405
DB01129,P20648
DB01131,P00374
DB01132,P27338
DB01133,Q05209
DB01133,P29350
DB01133,P23469
DB01133,P38606
DB01138,P33527
DB01143,P10696
DB01144,P00918
DB01144,P00915
DB01144,P22748
DB01144,P07451
DB01151,P17405
DB01157,P00374
DB01158,P05023
DB01159,P03886
DB01159,P20020
DB01159,Q01814
DB01159,Q16720
DB01159,P23634
DB01165,P11388
DB01166,Q14432
DB01167,Q16850
DB01168,P21397
DB01168,P27338
DB01169,O14920
DB01169,Q16881
DB01169,P27361
DB01169,P28482
DB01169,P31749
DB01169,Q13547
DB01169,P29590
DB01171,P21397
DB01171,P27338
DB01176,P49888
DB01177,P11388
DB01179,P11388
DB01180,P12821
DB01183,P23141
DB01185,P80365
DB01188,P05023
DB01189,P03886
DB01189,P98194
DB01189,O75185
DB01189,P20020
DB01189,Q01814
DB01189,Q16720
DB01189,P23634
DB01189,O14983
DB01189,P16615
DB01194,P00918
DB01194,P00915
DB01194,P22748
DB01194,P35218
DB01194,P07451
DB01197,P12821
DB01197,P08253
DB01197,P14780
DB01197,P09960
DB01199,P22303
DB01204,P11388
DB01208,P11388
DB01213,P07327
DB01213,P00325
DB01213,P00326
DB01213,P04040
DB01216,P31213
DB01216,P18405
DB01216,P51857
DB01217,P11511
DB01221,P06276
DB01221,P29475
DB01223,Q14432
DB01223,Q92769
DB01226,P06276
DB01234,P35228
DB01236,P98194
DB01236,P03886
DB01240,Q16647
DB01242,P09211
DB01244,P05023
DB01244,Q01064
DB01244,P54750
DB01245,P22303
DB01247,P21397
DB01247,P27338
DB01250,P51580
DB01254,P00519
DB01254,P12931
DB01254,P29317
DB01254,P06239
DB01254,P07947
DB01254,P10721
DB01254,P09619
DB01254,P42684
DB01254,P06241
DB01254,Q06187
DB01254,P11274
DB01254,P41240
DB01254,P54756
DB01254,P54760
DB01254,P09769
DB01254,P42685
DB01254,P07948
DB01254,Q9NYL2
DB01254,Q16539
DB01254,Q06203
DB01259,P00533
DB01259,P04626
DB01261,P27487
DB01262,P26358
DB01262,Q9Y6K1
DB01262,Q9UBC3
DB01268,P09619
DB01268,P17948
DB01268,P10721
DB01268,P35968
DB01268,P35916
DB01268,P36888
DB01268,P07333
DB01268,P16234
DB01275,Q16853
DB01275,P13674
DB01280,P09884
DB01283,P35354
DB01283,P23219
DB01296,P14780
DB01303,Q14432
DB01303,P27815
DB01303,Q92769
DB01325,P00915
DB01325,P00918
DB01327,P27169
DB01340,P12821
DB01345,P05023
DB01348,P12821
DB01367,P27338
DB01370,P05023
DB01370,P06870
DB01378,P05023
DB01396,P05023
DB01399,P35354
DB01399,P23219
DB01400,P22303
DB01401,P23219
DB01401,P35354
DB01418,Q9BQB6
DB01419,P23219
DB01419,P35354
DB01427,Q14432
DB01427,Q13370
DB01427,P27815
DB01427,Q07343
DB01427,Q08493
DB01427,Q08499
DB01430,P05023
DB01435,P35354
DB01435,P23219
DB01436,O15528
DB01452,P23141
DB01577,P21397
DB01577,P27338
DB01586,P52895
DB01590,P42345
DB01592,Q9GZT9
DB01592,Q9BY41
DB01592,Q16595
DB01592,P02794
DB01592,P39748
DB01592,Q96FI4
DB01592,Q969S2
DB01592,P06746
DB01592,P00450
DB01593,P16455
DB01593,P04075
DB01593,P06733
DB01593,O14556
DB01593,P15531
DB01593,P07237
DB01593,P30101
DB01593,Q06830
DB01593,P78330
DB01593,P60174
DB01593,Q13547
DB01593,P56524
DB01593,P29372
DB01593,P00441
DB01593,Q9BY41
DB01593,Q00987
DB01593,P45381
DB01593,P14780
DB01593,P00736
DB01593,P46736
DB01593,P00751
DB01593,P00450
DB01593,P15169
DB01593,P00748
DB01593,P00734
DB01593,P03952
DB01593,P27169
DB01593,P09874
DB01597,P16444
DB01599,P23141
DB01600,P35354
DB01600,P23219
DB01611,Q9BYF1
DB01612,P16066
DB01613,P16066
DB01613,P20594
DB01626,P27338
DB01626,P21397
DB01628,P35354
DB01656,Q08499
DB01656,P27815
DB01656,Q07343
DB01656,Q08493
DB01698,P42330
DB01698,P16152
DB02266,P35354
DB02266,P23219
DB02266,P42330
DB02530,P50440
DB02546,Q13547
DB02546,Q92769
DB02546,O15379
DB02546,Q9UBN7
DB02546,Q9BY41
DB02659,P22830
DB02659,P00326
DB02659,P00395
DB02659,P04054
DB02659,P23141
DB02701,P00338
DB02701,P09874
DB02701,Q9NXA8
DB02701,Q10588
DB02772,Q9Y3I0
DB02772,P61626
DB02789,O00204
DB03085,P11413
DB03088,P04746
DB03088,Q9UKQ2
DB03128,P22303
DB03147,Q92947
DB03147,P11310
DB03147,P14920
DB03147,P21397
DB03147,P16219
DB03147,Q96RQ9
DB03147,P29475
DB03147,P15559
DB03147,Q86YB8
DB03147,P00390
DB03147,P00387
DB03147,P16083
DB03147,P26440
DB03147,P47989
DB03147,Q12882
DB03147,Q16881
DB03147,Q9UKU7
DB03147,O95831
DB03147,P09622
DB03147,Q9UHQ9
DB03147,P27338
DB03147,P22570
DB03147,Q15067
DB03147,P55789
DB03193,Q9UNK4
DB03310,P28161
