uniprot,disease_mesh
P02768,MESH:D001927
P02768,MESH:D006968
P02768,MESH:D012140
P02768,MESH:D000077192
P02768,MESH:D050010
P02768,MESH:D013274
P02768,MESH:D006505
P02768,MESH:D004827
P02768,MESH:D009393
P02768,MESH:D001002
P02768,MESH:D011507
P02768,MESH:D004443
P02768,MESH:D001651
P02768,MESH:D056486
P02768,MESH:D003925
P02768,MESH:D064420
P02768,MESH:D004195
P02768,MESH:D001930
P02768,MESH:D010195
Q13740,MESH:D015674
Q13740,MESH:D008325
Q13740,MESH:D002277
P33897,MESH:D000326
P00352,MESH:D020734
P00352,MESH:D002292
P00352,MESH:D008107
P00352,MESH:D008545
P00352,MESH:D002471
P00352,MESH:D065626
P00352,MESH:D008106
P00352,MESH:D007562
P05091,MESH:D000437
P05091,MESH:D065626
P05091,MESH:D010300
P05091,MESH:D014652
P05091,MESH:D007248
P05091,MESH:D000077277
P05091,MESH:D011230
P05091,OMIM:610251
P05091,MESH:D020022
P05091,MESH:D008106
P05091,MESH:D008548
P05091,MESH:D001249
P05091,MESH:D015179
P05091,MESH:D020345
P05091,MESH:D004938
P05091,MESH:D005483
P05091,MESH:D009783
P05091,MESH:D020751
P30838,MESH:D065306
P30838,MESH:D002386
P30837,MESH:D002779
P30837,MESH:D008106
P30837,MESH:D006529
P30837,MESH:D065626
P30837,MESH:D003110
P47895,OMIM:615113
P47895,MESH:D013274
P47895,MESH:D008545
P49189,MESH:D056486
P51648,MESH:D016111
Q9UBJ2,MESH:D015179
P04075,MESH:D009362
P04075,MESH:D000077192
P04075,MESH:D009361
P04075,MESH:D001943
P04075,MESH:C562718
P04075,MESH:D017202
P05062,MESH:D019693
P05062,MESH:D000860
P05062,MESH:D013274
P05062,MESH:D005633
P05062,MESH:D056486
P15121,MESH:D004715
P15121,MESH:D012128
P15121,MESH:D002386
P15121,MESH:D016889
P15121,MESH:D048909
P15121,MESH:D008106
Q9UM73,MESH:D016403
Q9UM73,MESH:D009362
Q9UM73,MESH:D000077192
Q9UM73,MESH:D058922
Q9UM73,MESH:D017728
Q9UM73,MESH:D002289
Q9UM73,MESH:D001943
Q9UM73,MESH:D002471
Q9UM73,MESH:D002292
Q9UM73,MESH:D006104
Q9UM73,MESH:D009364
Q9UM73,MESH:D001932
Q9UM73,MESH:D009447
Q9UM73,MESH:D016726
P18054,MESH:D002057
P18054,MESH:D001171
P18054,MESH:D010523
P18054,MESH:D006930
P18054,MESH:D012871
P09917,MESH:D020244
P09917,MESH:D014581
P09917,MESH:D002292
P09917,MESH:D003111
P09917,MESH:D001172
P09917,MESH:D003110
P09917,MESH:D013274
P09917,MESH:D006930
P09917,MESH:D009361
P09917,MESH:C563236
P09917,MESH:D015427
P09917,MESH:D009362
P09917,MESH:D000236
P09917,MESH:D000230
P09917,MESH:D050197
P09917,MESH:D009102
P09917,MESH:D006976
P09917,MESH:D010051
P09917,MESH:D001249
P09917,MESH:D011471
P09917,MESH:D000077192
P09917,MESH:D003875
P09917,MESH:D009400
P09917,MESH:D019446
P09917,MESH:C562463
P09917,MESH:D005596
P09917,MESH:D003092
P20292,MESH:D020258
P20292,MESH:D011507
P20292,MESH:D050197
P20292,MESH:D008107
P20292,MESH:D000083242
O75342,MESH:D011471
O75342,MESH:D003110
O75342,MESH:C538603
O75342,MESH:D002292
O75342,MESH:D000077192
O75342,MESH:C562463
O75342,MESH:C563236
O75342,MESH:D010051
O75342,MESH:D017490
O75342,MESH:D000230
P16050,MESH:D004938
P16050,MESH:D054144
P16050,MESH:D006973
P16050,MESH:D009298
P05186,MESH:D016301
P05186,MESH:D001851
P05186,MESH:D007014
P05186,MESH:D004195
P05186,MESH:D006962
P05186,MESH:D018883
P05186,MESH:C562647
P05186,MESH:C562646
P05186,MESH:D012640
P05186,MESH:D002114
P05186,MESH:C562440
P05186,MESH:D008107
P10696,MESH:D000022
O95076,MESH:C538065
O95076,MESH:D009436
Q9NP70,OMIM:616270
P02760,MESH:D064420
P02760,MESH:D056486
P02760,MESH:D058186
P02760,MESH:D019964
Q99217,MESH:C538243
Q99218,MESH:D010048
Q9UKV5,MESH:D018450
Q9UKV5,MESH:D001749
Q9UKV5,MESH:D000544
P03971,MESH:C536665
P03971,MESH:D052776
Q16671,MESH:D052776
Q16671,MESH:C536665
P23109,MESH:D009133
P23109,MESH:D018908
P23109,OMIM:615511
P23109,MESH:C538234
P23109,MESH:D009135
Q01433,OMIM:615809
Q01433,OMIM:615686
Q01432,MESH:C567878
O00499,MESH:D060825
O00499,MESH:D020914
O00499,MESH:D000544
O00499,MESH:C562934
P48728,MESH:D020158
P03950,MESH:C567499
P03950,MESH:D000210
P03950,MESH:D010048
Q15389,MESH:D007249
Q15389,MESH:D005355
O15123,MESH:D006394
P16157,MESH:C567159
P16157,MESH:D001848
Q01484,MESH:C566996
Q01484,MESH:D020521
Q01484,MESH:D065886
Q12955,OMIM:615493
Q12955,MESH:D001714
Q12955,MESH:D063647
Q12955,MESH:D008175
Q12955,MESH:D011371
Q12955,MESH:D013226
P15144,MESH:D001749
P12235,OMIM:617184
P12235,MESH:C563750
P12235,OMIM:615418
P12235,MESH:D008106
P04083,MESH:D015674
P04083,MESH:D000077277
P04083,MESH:D008106
P04083,MESH:D002294
P04083,MESH:D000077192
P04083,MESH:D019465
P04083,MESH:D008325
P04083,MESH:D006973
P04083,MESH:D002277
P04083,MESH:D009361
P04083,MESH:D011471
P04083,MESH:D009062
P04083,MESH:D009362
P04083,MESH:D008207
P07355,MESH:D015470
P07355,MESH:D009361
P07355,MESH:D000086002
P07355,MESH:D015674
P07355,MESH:D008113
P07355,MESH:D002294
P07355,MESH:D008175
P07355,MESH:D010024
P07355,MESH:D009062
P07355,MESH:D008106
P07355,MESH:D056486
P07355,MESH:D015430
P12429,MESH:D011471
P12429,MESH:D008106
P12429,MESH:D008180
P12429,MESH:D001172
P12429,MESH:D010051
P09525,MESH:D009362
P09525,MESH:D015674
P09525,MESH:D008325
P09525,MESH:D006528
P09525,MESH:D015470
P09525,MESH:D002277
P09525,MESH:D011471
P09525,MESH:D011230
P09525,MESH:D002292
P09525,MESH:D008106
P09525,MESH:D008113
P08758,MESH:D008106
P08758,MESH:D009062
P08758,OMIM:614391
P08758,MESH:D002294
P08758,MESH:D013274
P08758,MESH:D015470
P08758,MESH:D015430
P08758,MESH:D006527
P08758,MESH:D000077192
P08133,MESH:D056486
P08133,MESH:D015470
P20073,MESH:D008113
P50995,MESH:D012507
P28039,MESH:D019969
Q06278,MESH:D011471
O14727,MESH:D012163
O14727,MESH:D005124
O14727,MESH:D012868
O14727,MESH:D008106
O14727,MESH:D002295
O14727,MESH:D019465
O14727,MESH:D002292
P50583,MESH:D001943
Q13790,MESH:D006528
Q99767,MESH:D012871
Q92870,MESH:D015430
P25054,MESH:D015674
P25054,MESH:D006949
P25054,MESH:D000236
P25054,MESH:D005909
P25054,MESH:D018222
P25054,MESH:D000230
P25054,MESH:D008175
P25054,MESH:D007414
P25054,MESH:D012004
P25054,MESH:D006471
P25054,MESH:D007964
P25054,MESH:D008654
P25054,MESH:D012128
P25054,MESH:D005770
P25054,MESH:D015212
