drugbank,disease_mesh
DB09225,MESH:D001523
DB09225,MESH:D011618
DB09129,MESH:D007333
DB11056,MESH:D003924
DB11056,MESH:D003925
DB11056,MESH:D003921
DB11056,MESH:D006973
DB09123,MESH:D000152
DB09123,MESH:D004412
DB00697,MESH:D010146
DB00697,MESH:D006973
DB00697,MESH:D006930
DB00697,MESH:D014277
DB00697,MESH:D013276
DB00697,MESH:D004487
DB00697,MESH:D017116
DB00697,MESH:D001416
DB00697,MESH:D009128
DB00697,MESH:D012640
DB01218,MESH:D008288
DB01218,MESH:D016778
DB11753,MESH:D001172
DB13872,MESH:D007319
DB13872,MESH:D012206
DB01073,MESH:D054198
DB01073,MESH:D008258
DB01073,MESH:D010020
DB01073,MESH:D005271
DB01073,MESH:D015451
DB01073,MESH:D019337
DB01073,MESH:D007938
DB01073,MESH:D016399
DB01073,MESH:D020522
DB01073,MESH:D007945
DB01073,MESH:D012008
DB01073,MESH:D015470
DB06816,MESH:D020257
DB11171,MESH:D006461
DB09270,MESH:D003866
DB09270,MESH:D009410
DB09270,MESH:D015228
DB09270,MESH:D005355
DB09270,MESH:D002318
DB09270,MESH:D006816
DB09270,MESH:D002375
DB09270,MESH:D001930
DB09270,MESH:D008569
DB09270,MESH:D000068079
DB09270,MESH:D066126
DB09270,MESH:D015431
DB09270,MESH:D020734
DB09270,MESH:D010049
DB09270,MESH:D056486
DB09270,MESH:D018908
DB09270,MESH:D003072
DB09270,MESH:D006333
DB09270,MESH:D018487
DB09270,MESH:D007249
DB09270,MESH:D006331
DB09270,MESH:D000072660
DB09270,MESH:D009336
DB09270,MESH:D006332
DB09270,MESH:D058186
DB09270,MESH:D009135
DB09270,MESH:D009203
DB09270,MESH:D007968
DB09270,MESH:D009202
DB09270,MESH:D009120
DB09270,MESH:D048629
DB01589,MESH:D012893
DB01589,MESH:D007319
DB09269,MESH:D056806
DB09269,MESH:D020165
DB09269,MESH:D022124
DB09269,MESH:D003128
DB11994,MESH:D010003
DB11994,MESH:D058186
DB11994,MESH:D013276
DB04948,MESH:D009293
DB04948,MESH:D013276
DB04948,MESH:D019970
DB04948,MESH:D006556
DB04948,MESH:D013375
DB04948,MESH:D019973
DB07565,MESH:D002494
DB07565,MESH:D008583
DB11610,MESH:D007024
DB05260,MESH:D006528
DB05260,MESH:D006934
DB05260,MESH:D008228
DB09070,MESH:D010024
DB09070,MESH:D017202
DB09070,MESH:D001943
DB09070,MESH:D050197
DB09070,MESH:D015663
DB09070,MESH:D004715
DB09070,MESH:D019584
DB09070,MESH:D001161
DB09055,MESH:D006937
DB09055,MESH:D001161
DB11431,MESH:D001943
DB11431,MESH:D004283
DB11431,MESH:D006734
DB11431,MESH:D004184
DB11431,MESH:D017191
DB11431,MESH:D009349
DB11431,MESH:D005767
DB11431,MESH:D013319
DB13246,MESH:D005141
DB13246,MESH:D002375
DB13246,MESH:D014202
DB14110,MESH:D003921
DB14110,MESH:D011041
DB14110,MESH:D002545
DB14110,MESH:D002534
DB14110,MESH:D001929
DB14110,MESH:D002546
DB14110,MESH:D056486
DB14110,MESH:D004283
DB14110,MESH:D009410
DB00733,MESH:D010243
DB00733,MESH:D001930
DB00733,MESH:D064420
DB00733,MESH:D062025
DB00733,MESH:D020258
DB00733,MESH:D011041
DB00733,MESH:D013226
DB00733,MESH:D012640
DB14669,MESH:D009902
DB00868,MESH:D010146
DB09131,MESH:D010859
DB09131,MESH:D000015
DB09131,MESH:D017496
DB09131,MESH:D009421
DB09394,MESH:D007855
DB01020,MESH:D000787
DB01020,MESH:D006973
DB01020,MESH:D006975
DB01020,MESH:D004932
DB01020,MESH:D006470
DB01020,MESH:D017202
DB01020,MESH:D011655
DB01020,MESH:D009203
DB14658,MESH:D014005
DB11255,MESH:D006943
DB11255,MESH:D058186
DB11255,MESH:D003921
DB11255,MESH:D007333
DB11255,MESH:D059606
DB11141,MESH:D001145
DB11141,MESH:D015430
DB11141,MESH:D003866
DB11248,MESH:D001145
DB11248,MESH:D015430
DB11248,MESH:D003866
DB13180,MESH:D001145
DB13180,MESH:D015430
DB13180,MESH:D003866
DB13749,MESH:D001145
DB13749,MESH:D015430
DB13749,MESH:D003866
DB12343,MESH:D004927
DB12343,MESH:D011704
DB12343,MESH:D011512
DB14491,MESH:D018798
DB09526,MESH:D056486
DB09526,MESH:D002545
DB09526,MESH:D008548
DB09526,MESH:D012772
DB09526,MESH:D004487
DB00278,MESH:D001778
DB00278,MESH:D011183
DB00278,MESH:D001157
DB00278,MESH:D020521
DB00278,MESH:D013927
DB00278,MESH:D016769
DB00278,MESH:D020246
DB00278,MESH:D004211
DB00278,MESH:D019851
DB00278,MESH:D011655
DB00278,MESH:D013921
DB01367,MESH:D018476
DB01367,MESH:D020734
DB01367,MESH:D008569
DB01367,MESH:D002375
DB01367,MESH:D010300
DB01367,MESH:D003072
DB06800,MESH:D002375
DB01250,MESH:D003093
DB01250,MESH:D015212
DB11326,MESH:D001927
DB11326,MESH:D013733
DB11326,MESH:D006331
DB11326,MESH:D008171
DB11326,MESH:D019457
DB11326,MESH:D056486
DB11326,MESH:D050171
DB11326,MESH:D005911
DB11326,MESH:D009202
DB11326,MESH:D007674
DB11326,MESH:D020261
DB00469,MESH:D001172
DB00469,MESH:D010146
DB00469,MESH:D010149
DB00469,MESH:D004487
DB00469,MESH:D010003
DB00416,MESH:D009127
DB01336,MESH:D009127
DB01245,MESH:D012640
DB06689,MESH:D006471
DB00824,MESH:D029424
DB00824,MESH:D001249
DB06712,MESH:D002545
DB06712,MESH:D006973
DB06712,MESH:D007674
DB08887,MESH:D007333
DB00159,MESH:D007333
DB01130,MESH:D017449
DB01130,MESH:D004485
DB01130,MESH:D003876
DB01130,MESH:D020078
