uniprot,uniprot2
Q14565,Q96B01
P35250,Q96B01
P56282,Q96B01
Q9HAT0,O75969
Q9Y5N6,P46527
Q99741,P46527
P49815,P46527
P28482,P46527
P04004,P46527
P24385,P46527
P62877,P46527
Q96L33,P52566
Q99819,P52566
P08138,P52566
P56703,Q9ULW2
O14641,Q9ULW2
Q9UBV4,Q9ULW2
P14784,P01579
Q13651,P01579
Q9UL46,P01579
Q9NRG9,P57740
P35557,P57740
Q9UKV8,P57740
P62318,P57740
P22087,Q13601
Q9NQT4,Q13601
Q9NW13,Q13601
Q9Y5J1,Q13601
P82930,Q4U2R6
Q13084,Q4U2R6
Q9P0M9,Q4U2R6
P82664,Q4U2R6
P82673,Q4U2R6
Q9BYC8,Q4U2R6
Q9UKV8,P04406
Q96EB6,P04406
P01730,P04406
P09972,P04406
O14556,P04406
P53778,P16520
O15264,P16520
P28482,P16520
P29992,P16520
Q96RU2,P45974
P09972,P60174
Q99798,P60174
P04406,P60174
O14556,P60174
Q9UJQ4,Q9H9S0
P24385,Q9H9S0
P17844,Q9H9S0
Q9C0K7,Q9Y478
O60664,Q9Y478
P49815,Q9Y478
P13569,Q9Y478
Q9NR45,Q8NFW8
Q92830,Q9Y5Z7
Q8N3F8,Q15286
Q7KZN9,P12074
P31930,P12074
P51003,Q13242
Q05048,Q13242
Q86U42,Q13242
Q15428,Q13242
P62714,Q9NVK5
P28838,P48506
P48637,P48506
P62877,Q9UKT4
P35244,Q9HB96
P07992,Q9HB96
P35250,Q9HB96
P23409,Q16539
P19235,Q16539
P11233,Q16539
P60568,Q16539
P28482,Q16539
O60381,Q16539
Q9Y239,Q16539
O15264,Q16539
P13349,Q16539
P16520,Q16539
P51452,Q16539
P07197,Q16539
P14784,Q16539
Q15750,Q16539
P53778,Q16539
P25963,Q16539
O43353,Q16539
P29992,Q16539
P09601,Q16539
P49815,Q16539
P19838,Q16539
P04233,P06340
Q9Y2B2,P80108
P60228,P25398
P84098,P25398
P60468,P25398
Q9UNQ2,P25398
O15371,P25398
O60869,P25398
P17861,P25398
Q02543,P25398
P07585,Q9NPZ5
P43686,O75496
P51665,O75496
Q9UL46,O75496
O75832,O75496
Q16401,O75496
Q9UKT4,O75496
P25787,O75496
P25789,O75496
O14965,O75496
P31270,O75496
Q9Y5N6,O75496
P48556,O75496
P33992,O75496
P25788,O75496
Q99741,O75496
P13569,O60493
Q96PE3,Q92562
Q9Y216,Q92562
P22087,Q13895
P25398,Q13895
Q13601,Q13895
Q12816,Q13895
P51841,Q9UMX6
P11233,Q96KP1
P35579,Q96KP1
P07942,Q16363
P16144,Q16363
P26012,Q16363
P14210,Q16363
Q14112,Q16363
P26006,Q16363
Q9UJA5,P42285
Q13601,P42285
P22087,P42285
Q9Y5J1,P42285
Q9NZW5,P42285
Q9NQT4,P42285
P17844,P42285
Q9Y6E7,Q9BQG2
P28907,Q9BQG2
Q96EB6,Q9BQG2
P43490,Q9BQG2
P42285,Q5XG87
P08253,Q99075
Q9NWQ8,Q99075
Q16543,Q99075
P51511,Q99075
P41240,Q99075
Q15113,P28300
P08253,P28300
O43897,P28300
P02452,P28300
P02452,P09486
P09919,P29460
Q01201,P29460
P25963,P29460
O00626,P29460
P19838,P29460
Q9NPF7,P29460
P13500,P29460
O15498,Q9UIQ6
