uniprot,disease_mesh
P09919,MESH:D064420
P09919,MESH:D016483
P09919,MESH:D005355
P09919,MESH:D007674
P09919,MESH:D001943
P09919,MESH:D009101
P09919,MESH:D014594
P09919,MESH:D008228
P09919,MESH:D006984
P09919,MESH:D007890
P09919,MESH:D009503
P09919,MESH:D013262
P09919,MESH:D008113
P09919,MESH:D012878
P09919,MESH:D007238
P09919,MESH:D002277
P09919,MESH:D056486
P09919,MESH:D012983
P09919,MESH:D006331
P09919,MESH:D006258
P09919,MESH:D008106
P09919,MESH:D001749
P09919,MESH:D015470
P09919,MESH:D055752
P09919,MESH:D016393
P09919,MESH:D011041
P09919,MESH:D002311
P09919,MESH:D009362
P09919,MESH:D018805
P09919,MESH:D002289
P09919,MESH:D000380
P09919,MESH:D006394
P09919,MESH:D008545
P09919,MESH:D010198
P09919,MESH:D006689
P09919,MESH:D012594
P01034,MESH:D000544
Q16619,MESH:D009336
Q16619,MESH:D007674
P16410,MESH:D008545
P16410,MESH:D006086
P35222,MESH:D056486
P35222,MESH:D009133
P35222,MESH:D054318
P35222,MESH:D061205
P04839,MESH:D006105
Q16678,MESH:D009765
Q16678,MESH:D005234
Q16678,MESH:D018149
Q16678,MESH:D006529
P11509,OMIM:188890
P20813,MESH:D018316
P33260,MESH:D018316
P20815,MESH:D020258
P22680,MESH:D006937
P05108,MESH:D012640
P12821,MESH:D055370
P12821,MESH:D007022
P12821,MESH:D006528
P12821,MESH:D015431
P12821,MESH:D011658
P20711,MESH:D020734
P20711,MESH:D010300
P24522,MESH:D010051
P24522,MESH:D010190
P35638,MESH:D009798
P59666,MESH:D015473
P00374,MESH:D007247
P15559,MESH:D020258
P15559,MESH:D007674
P15559,MESH:D003921
P15559,MESH:D006943
P15559,MESH:D009374
P11532,MESH:D009202
P11532,MESH:D009136
P24855,MESH:D018357
P24855,MESH:D000402
Q13609,MESH:D008175
Q99704,MESH:D010051
P21728,MESH:D010300
P14416,MESH:D019970
P14416,MESH:D010300
P14416,MESH:D012640
P14416,MESH:D020734
P35462,MESH:D019970
P35462,MESH:D012640
P35462,MESH:D009069
P35462,MESH:D006948
Q99075,MESH:D013274
Q99075,MESH:D066126
Q99075,MESH:D020345
Q01094,MESH:D008545
P05305,MESH:D019226
P05305,MESH:D008106
P05305,MESH:D010437
P05305,MESH:D001919
P05305,MESH:D007022
P20800,MESH:D001919
P20800,MESH:D007022
P14138,MESH:D001919
P14138,MESH:D007022
P24530,MESH:D001943
P52799,MESH:C562992
P01133,MESH:D013276
P01133,MESH:D014947
P00533,MESH:D018281
P00533,MESH:D001169
P00533,MESH:D011471
P00533,MESH:D001650
P00533,MESH:D058186
P00533,MESH:D013274
P18146,MESH:D011014
P18146,MESH:D019970
P78545,MESH:D055370
P07099,MESH:D005334
P34913,MESH:D058186
P34913,MESH:D064420
P01588,MESH:D019636
P01588,MESH:D015431
P01588,MESH:D010198
P01588,MESH:D009410
P01588,MESH:D007676
P01588,MESH:D001930
P01588,MESH:D017086
P01588,MESH:D007674
P01588,MESH:D014652
P01588,MESH:D014511
P01588,MESH:D009190
P01588,MESH:D006331
P01588,MESH:D007249
P01588,MESH:D000740
P01588,MESH:D014693
P01588,MESH:D011041
P01588,MESH:D051437
P01588,MESH:D005221
P01588,MESH:D003072
P01588,MESH:D013226
P01588,MESH:D013276
P01588,MESH:D013921
