drugbank,uniprot
DB04115,O15392
DB04272,O14964
DB04272,P62312
DB04272,Q9HB21
DB04272,P07360
DB04348,P51161
DB04540,Q9ULY5
DB04821,P23975
DB04821,Q01959
DB04821,P31645
DB04821,Q05940
DB04825,P0DP23
DB04832,P31645
DB04840,P23975
DB04841,P0DP23
DB04844,Q05940
DB04845,Q13509
DB04855,P32418
DB04865,P39023
DB04896,P31645
DB04896,P23975
DB05260,P21281
DB05260,P02818
DB05260,P01584
DB05294,P15692
DB05381,Q05940
DB05382,Q92911
DB05521,Q9Y6L6
DB06077,P31645
DB06148,P23975
DB06148,P31645
DB06148,Q01959
DB06151,Q9UPY5
DB06152,P48551
DB06154,P69905
DB06154,P68871
DB06174,Q99720
DB06204,P23975
DB06204,P31645
DB06292,P31639
DB06412,P16860
DB06413,Q01959
DB06589,P05230
DB06589,Q9UQQ2
DB06684,P31645
DB06700,P23975
DB06700,P31645
DB06700,Q01959
DB06701,Q01959
DB06701,P23975
DB06701,P31645
DB06706,Q05940
DB06713,P02768
DB06756,P10415
DB06757,Q15750
DB06757,P02787
DB06772,P68366
DB06772,Q9H4B7
DB06774,Q99623
DB06782,P05067
DB08814,P19838
DB08818,P16070
DB08818,P05362
DB08818,P13611
DB08818,Q07021
DB08818,P10915
DB08818,Q8WWQ8
DB08818,P98066
DB08818,Q9BZV3
DB08818,Q5JVS0
DB08827,P55157
DB08860,P20701
DB08871,P10415
DB08871,Q9H4B7
DB08907,P31639
DB08908,Q14145
DB08908,Q04206
DB08910,Q96SW2
DB08910,P01375
DB08918,P31645
DB08918,P23975
DB08995,P35869
DB09038,P31639
DB09068,P31645
DB09068,P23975
DB09092,P39023
DB09095,P12429
DB09112,P69905
DB09112,P68871
DB09130,P05067
DB09130,P62807
DB09130,P10412
DB09130,P05109
DB09130,P08865
DB09130,P63261
DB09130,P68104
DB09130,P48723
DB09130,P14625
DB09130,P02787
DB09130,P15880
DB09130,Q07955
DB09130,P22626
DB09130,P31943
DB09130,P31942
DB09130,P14866
DB09130,P23246
DB09130,Q15428
DB09130,P63244
DB09130,P12814
DB09130,P09525
DB09130,P08758
DB09130,P27797
DB09130,P11142
DB09130,P07900
DB09130,P56537
DB09130,P60842
DB09130,P07437
DB09130,P23528
DB09130,P31946
DB09130,P51858
DB09130,Q06323
DB09130,P30086
DB09130,P43487
DB09130,P61769
DB09130,O75880
DB09130,P42858
DB09130,P05121
DB09130,P29034
DB09130,P26447
DB09130,P37840
DB09130,P23560
DB09130,P10997
DB09130,Q9UHF0
DB09130,P04217
DB09130,P43652
DB09130,P02765
DB09130,P02743
DB09130,P02647
DB09130,P02652
DB09130,P06727
DB09130,Q0VD83
DB09130,P02655
DB09130,P02656
DB09130,P05090
DB09130,P02649
DB09130,P02749
DB09130,P25311
DB09130,P02747
DB09130,P01024
DB09130,P0C0L5
DB09130,P04003
DB09130,P01031
DB09130,P02748
DB09130,P08603
DB09130,P05452
DB09130,P10909
DB09130,Q07021
DB09130,P06396
DB09130,P69905
DB09130,P68871
DB09130,P45973
DB09130,P00739
DB09130,P35858
DB09130,P15814
DB09130,P01042
DB09130,P04264
DB09130,P13645
DB09130,P35908
DB09130,P35527
DB09130,P02750
DB09130,P51884
DB09130,P02775
DB09130,P01009
DB09130,P29622
DB09130,P08185
DB09130,P05543
DB09130,P01008
DB09130,P05546
DB09130,P36955
DB09130,P08697
DB09130,P05155
DB09130,P02766
DB09130,P04004
DB09130,P51693
DB09131,P04080
DB09140,Q9Y5S8
DB09148,P05067
DB09149,P05067
DB09167,P23975
DB09167,P31645
DB09185,P23975
DB09195,P31645
DB09213,P10415
DB09213,P07204
DB09213,P12104
DB09213,P07359
DB09213,P31151
