drugbank,uniprot
DB00502,P21728
DB00502,P28223
DB00502,P35462
DB00502,Q99705
DB00502,P28335
DB00502,P35367
DB00502,P20309
DB00502,P35348
DB00502,P08913
DB00502,P18089
DB00502,P18825
DB00502,P08908
DB00502,P50406
DB00502,P34969
DB00504,P35372
DB00508,P14416
DB00508,P21728
DB00508,P41595
DB00508,P11229
DB00508,P08172
DB00514,P35372
DB00514,P41143
DB00514,P41145
DB00517,P11229
DB00517,P08172
DB00517,P20309
DB00521,P07550
DB00521,P08588
DB00540,P28223
DB00540,P08908
DB00540,P35367
DB00540,P35348
DB00540,P25100
DB00540,P28335
DB00540,P35368
DB00540,P08913
DB00540,P18089
DB00540,P18825
DB00540,P08588
DB00540,P07550
DB00540,P13945
DB00540,P14416
DB00540,P11229
DB00540,P08172
DB00540,P20309
DB00540,P08173
DB00540,P08912
DB00543,P14416
DB00543,P21728
DB00543,P08913
DB00543,P35348
DB00543,P11229
DB00543,P28223
DB00543,P28335
DB00543,P50406
DB00543,P34969
DB00543,P35462
DB00543,P21917
DB00543,P35367
DB00543,P35368
DB00543,P25100
DB00543,P08172
DB00543,P20309
DB00543,P08173
DB00543,P08912
DB00543,P41595
DB00543,P08908
DB00543,P28222
DB00543,P18089
DB00543,P18825
DB00543,Q9H3N8
DB00549,Q9Y271
DB00555,P30542
DB00555,P29274
DB00555,P35348
DB00555,P08913
DB00555,P08588
DB00555,P21728
DB00555,P21918
DB00555,P14416
DB00555,P35367
DB00555,P41145
DB00555,P28223
DB00557,P35367
DB00559,P25101
DB00559,P24530
DB00568,P35367
DB00568,P14416
DB00568,P21728
DB00568,P21918
DB00568,P11229
DB00568,P08172
DB00568,P20309
DB00568,P08173
DB00568,P08912
DB00571,P08588
DB00571,P07550
DB00571,P13945
DB00571,P08908
DB00571,P28222
DB00572,P11229
DB00572,P08172
DB00572,P20309
DB00572,P08173
DB00572,P08912
DB00574,P28221
DB00574,P28335
DB00574,P28223
DB00574,P41595
DB00574,P08908
DB00575,P08913
DB00575,P18089
DB00575,P18825
DB00575,P35348
DB00575,P35368
DB00575,P25100
DB00585,P25021
DB00589,P14416
DB00589,P35462
DB00589,P21917
DB00589,P21728
DB00589,P21918
DB00589,P08908
DB00589,P28221
DB00589,P41595
DB00589,P28223
DB00589,P28335
DB00589,P28222
DB00589,P08913
DB00589,P18089
DB00589,P18825
DB00589,P34969
DB00590,P35348
DB00590,P25100
DB00590,P35368
DB00598,P08588
DB00598,P07550
DB00598,P35348
DB00598,P35368
DB00598,P25100
DB00599,P20309
DB00604,Q13639
DB00604,P28223
DB00605,Q9Y5Y4
DB00610,P35348
DB00611,P41145
DB00611,P41143
DB00611,P35372
DB00612,P08588
DB00612,P07550
DB00618,P30518
DB00622,P35348
DB00622,P35368
DB00622,P25100
DB00622,P11229
DB00622,P08172
DB00622,P20309
DB00622,P08173
DB00622,P08912
DB00623,P14416
DB00623,P21728
DB00623,P28223
DB00623,P28335
DB00627,P49019
DB00627,Q8TDS4
DB00629,P08913
DB00629,P18089
DB00633,P08913
DB00637,P35367
DB00640,P29274
DB00640,P29275
DB00640,P30542
DB00644,P30968
DB00647,P35372
DB00647,P41143
DB00647,P41145
DB00651,P30542
DB00651,P29274
DB00652,P35372
DB00652,P41145
DB00654,P43088
DB00656,P28223
DB00656,P28335
DB00656,P08908
DB00656,P35367
DB00656,P35348
DB00656,P08913
DB00659,P41594
DB00661,P35348
DB00661,P35368
DB00661,P25100
DB00666,P30968
DB00668,P35348
DB00668,P35368
DB00668,P08588
DB00668,P07550
DB00668,P08913
DB00668,P18089
DB00668,P25100
DB00669,P28221
DB00669,P28222
DB00669,P08908
DB00670,P11229
DB00673,P25103
DB00678,P30556
DB00679,P14416
DB00679,P21728
DB00679,P35348
DB00679,P35368
DB00679,P28223
DB00692,P08913
DB00692,P35348
DB00692,P35368
DB00692,P25100
DB00696,P28221
DB00696,P28222
DB00696,P28223
DB00696,P14416
DB00696,P35348
DB00696,P35368
DB00696,P25100
DB00696,P08913
DB00696,P21728
DB00696,P21918
DB00696,P08908
DB00696,P28335
DB00696,P41595
DB00696,P18825
DB00697,P08913
DB00697,P18089
DB00697,P18825
DB00697,P35348
DB00697,P35368
DB00697,P25100
DB00699,P35348
DB00704,P41143
DB00704,P35372
DB00704,P41145
DB00706,P35348
DB00706,P25100
DB00706,P35368
DB00708,P35372
DB00708,P41143
DB00708,P41145
DB00714,P21917
DB00714,P14416
DB00714,P35462
DB00714,P21918
DB00714,P21728
DB00714,P18825
DB00714,P18089
DB00714,P08908
DB00714,P28223
DB00714,P41595
DB00714,P28335
DB00714,P08913
DB00714,P28221
DB00714,P28222
DB00715,P28223
DB00715,P35348
DB00715,P35368
DB00715,P25100
DB00715,P08913
DB00715,P18089
DB00715,P18825
DB00715,P08588
DB00715,P07550
DB00715,P13945
DB00715,P14416
DB00715,P35367
DB00715,P08908
DB00715,P28222
DB00715,P28221
DB00715,P41595
DB00715,P28335
DB00715,Q13639
DB00715,P50406
DB00715,P34969
DB00715,P11229
DB00715,P08172
DB00715,P20309
DB00715,P08173
DB00715,P08912
DB00715,P21728
DB00715,P21918
DB00716,Q9Y271
DB00716,Q9NS75
DB00716,P21462
DB00716,Q13258
DB00719,P35367
DB00723,P35348
DB00723,P35368
DB00723,P25100
DB00725,P08172
DB00725,P11229
DB00725,P08173
DB00725,P08912
DB00725,P20309
DB00726,P28223
DB00726,P08908
DB00726,P35348
DB00726,P35368
DB00726,P14416
DB00726,P18089
DB00726,P35367
DB00726,P28335
DB00726,P28221
DB00726,P08913
DB00726,P21728
DB00726,P21918
DB00726,P08588
DB00726,P07550
DB00726,P13945
DB00726,P11229
DB00726,P08172
DB00726,P20309
DB00726,P08173
DB00726,P08912
DB00728,P08172
DB00734,P28223
DB00734,P14416
DB00734,P35368
DB00734,P18089
DB00734,P35348
DB00734,P18825
DB00734,P35367
DB00734,P28335
DB00734,P28221
DB00734,P08908
DB00734,P34969
DB00734,P21728
DB00737,P35367
DB00745,P35368
DB00747,P11229
DB00747,P08172
DB00747,P20309
DB00747,P08173
DB00747,P08912
DB00748,P35367
DB00751,P35367
DB00751,P25021
DB00751,P35348
DB00751,P08913
DB00751,P28223
DB00751,P34969
DB00755,Q8NFJ5
DB00758,Q9H244
DB00768,P35367
DB00768,P25021
DB00768,Q9Y5N1
DB00770,P43116
DB00770,P34995
DB00770,Q9Y5Y4
DB00771,P11229
DB00777,P35367
DB00777,P11229
DB00777,P08172
DB00777,P20309
DB00777,P08173
DB00777,P08912
DB00777,P35348
DB00777,P14416
DB00777,P28223
DB00777,P28335
DB00782,P11229
DB00783,Q99527
DB00792,P35367
DB00796,P30556
DB00797,P35348
DB00797,P08913
DB00797,P35367
DB00797,P25021
DB00797,P18825
DB00797,P18089
DB00800,P21918
DB00800,P21728
DB00800,P18089
DB00800,P18825
DB00800,P08913
DB00800,P35368
DB00800,P25100
DB00800,P35348
DB00802,P35372
DB00804,P11229
DB00804,P08172
DB00805,P41595
DB00805,P28223
DB00805,P28335
DB00805,P21728
DB00805,P14416
DB00805,P11229
DB00806,P30542
DB00806,P29274
DB00809,P08173
DB00809,P11229
DB00809,P08172
DB00809,P20309
DB00810,P11229
DB00813,P35372
DB00813,P41143
DB00813,P41145
DB00816,P07550
DB00824,P29275
DB00824,P30542
DB00824,P29274
DB00825,P41145
DB00831,P14416
DB00831,P35348
DB00835,P35367
DB00835,P11229
DB00835,P08172
DB00835,P20309
DB00835,P08173
DB00835,P08912
DB00836,P35372
DB00836,P41143
DB00836,P41145
DB00841,P08588
DB00841,P07550
DB00841,P35348
DB00841,P35368
DB00841,P25100
DB00843,P28223
DB00844,P41145
DB00844,P35372
DB00844,P41143
DB00847,P49146
DB00850,P14416
DB00850,P21728
DB00852,P35348
DB00852,P08913
DB00852,P07550
DB00852,P08588
DB00854,P35372
DB00854,P41143
DB00854,P41145
DB00863,P25021
DB00865,P08913
DB00865,P35348
DB00867,P07550
DB00871,P07550
DB00871,P13945
DB00871,P08588
DB00872,P37288
DB00872,P30518
DB00875,P14416
DB00875,P28223
DB00875,P21728
DB00875,P35348
DB00875,P11229
DB00876,P30556
DB00899,P35372
DB00899,P41143
DB00899,P41145
DB00902,P35367
DB00904,Q13639
DB00904,P35372
DB00904,P08908
DB00904,P28222
DB00905,P43088
DB00905,P34995
DB00905,P43115
DB00907,P11229
DB00907,P08172
DB00908,P35348
DB00908,P35368
DB00908,P25100
DB00913,P35372
DB00915,P14416
DB00917,P43116
DB00917,P34995
DB00917,P43115
DB00917,P35408
DB00917,Q9Y5Y4
DB00918,P28222
DB00918,P28221
DB00920,P35367
DB00921,P35372
DB00921,P41145
DB00921,P41143
DB00921,P41146
DB00924,P28223
DB00924,P41595
DB00924,P28335
DB00924,P50406
DB00924,P34969
DB00925,P35348
DB00925,P08913
DB00925,P18825
DB00925,P18089
DB00925,P07550
DB00925,P35368
DB00925,P25100
DB00927,P25021
DB00929,P43115
DB00929,P43116
DB00929,P35408
DB00929,P34995
DB00933,P28223
DB00933,P14416
DB00934,P35367
DB00934,P11229
DB00934,P08172
DB00934,P20309
DB00934,P08173
DB00934,P08912
DB00934,P35348
DB00934,P35368
DB00934,P25100
DB00934,P28223
DB00934,P28335
DB00934,P34969
DB00934,P14416
DB00934,P08913
DB00934,P18089
DB00934,P18825
DB00935,P35348
DB00935,P08913
DB00935,P18825
DB00935,P18089
DB00935,P35368
DB00935,P25100
DB00938,P07550
DB00938,P08588
DB00938,P13945
DB00940,P11229
DB00940,P25021
DB00940,P08172
DB00940,P20309
DB00940,P08173
DB00940,P08912
DB00942,P11229
DB00945,P25101
DB00950,P35367
DB00952,P28221
DB00952,P28222
DB00952,P08908
DB00953,P28221
DB00953,P28222
DB00956,P35372
DB00956,P41143
DB00960,P08588
DB00960,P07550
DB00960,P08908
DB00960,P28222
DB00960,P13945
DB00964,P08913
DB00964,P35348
DB00964,P18089
DB00966,P30556
DB00967,P35367
DB00968,P08913
DB00972,P35367
DB00972,P25021
DB00979,P11229
DB00980,P48039
DB00980,P49286
DB00983,P07550
DB00983,P08588
DB00983,P13945
DB00985,P35367
DB00986,P11229
DB00986,P20309
DB00986,P08172
DB00988,P14416
DB00988,P21728
DB00988,P21918
DB00988,P35462
DB00988,P21917
DB00988,P08908
DB00988,P34969
DB00996,P30542
DB00998,P28221
DB00998,P28222
DB01001,P07550
DB01001,P08588
DB01001,P13945
DB01009,P25024
DB01012,P41180
DB01018,P08913
DB01018,P18089
DB01019,P08172
DB01019,P11229
DB01019,P20309
DB01019,P08173
DB01029,P30556
DB01032,Q9NYV7
DB01036,P20309
DB01036,P08172
DB01036,P08912
DB01036,P11229
DB01036,P08173
DB01043,P14416
DB01047,Q99835
DB01062,P20309
DB01062,P08172
DB01062,P11229
DB01063,P14416
DB01064,P08588
DB01064,P07550
DB01064,P13945
DB01065,P48039
DB01065,P49286
DB01069,P35367
DB01069,P14416
DB01069,P11229
DB01069,P08172
DB01069,P20309
DB01069,P08173
DB01069,P08912
DB01069,P35348
DB01069,P35368
DB01069,P25100
DB01069,P08913
DB01069,P18089
DB01069,P18825
DB01069,P25021
DB01069,Q99677
DB01069,P43657
DB01069,P47900
DB01069,Q96G91
DB01069,Q9H244
DB01069,Q9BPV8
DB01069,Q15391
DB01069,P41231
DB01069,P51582
DB01069,Q86VZ1
DB01075,P35367
DB01075,P08172
DB01079,Q13639
DB01079,P41595
DB01079,P28335
DB01079,P28223
DB01081,P35372
DB01081,P41143
DB01084,P35367
DB01085,P20309
DB01085,P11229
DB01085,P08172
DB01085,P08173
DB01088,P43119
DB01088,P34995
DB01088,Q9Y5Y4
DB01100,P14416
DB01100,P35462
DB01102,P08588
DB01102,P07550
DB01102,P13945
DB01106,P35367
DB01106,O95665
DB01114,P35367
DB01118,P08588
DB01118,P07550
DB01118,P13945
DB01135,P08172
DB01136,P08588
DB01136,P35348
DB01136,P07550
DB01136,P25100
DB01136,P35368
DB01136,P18825
DB01136,P18089
DB01136,P08913
DB01142,P35367
DB01142,P25021
DB01142,P28223
DB01142,P41595
DB01142,P28335
DB01142,P11229
DB01142,P08172
DB01142,P20309
DB01142,P08173
DB01142,P08912
DB01142,P35348
DB01142,P35368
DB01142,P25100
DB01142,P08908
DB01142,P50406
DB01142,Q9H3N8
DB01146,P35367
DB01148,P08172
DB01148,P11229
DB01149,P28223
DB01149,P28335
DB01149,P08908
DB01149,P35368
DB01149,P08913
DB01149,P35348
DB01151,P07550
DB01151,P28223
DB01151,P08588
DB01151,P35367
DB01151,P35348
DB01151,P35368
DB01151,P25100
DB01151,P11229
DB01151,P08172
DB01151,P20309
DB01151,P08173
DB01151,P08912
DB01151,P08908
DB01151,P28335
DB01151,P14416
DB01151,P08913
DB01151,P18089
DB01151,P18825
DB01159,P08100
DB01159,Q6W5P4
DB01160,P43088
DB01160,P43119
DB01162,P35348
DB01162,P35368
DB01162,P25100
DB01173,P35367
DB01175,P11229
DB01175,P35367
DB01175,P08908
DB01175,P28223
DB01175,P35348
DB01175,P35368
DB01175,P25100
DB01175,P28335
DB01175,P08913
DB01175,P18089
DB01175,P18825
DB01175,P14416
DB01176,P35367
DB01182,P08588
DB01182,P07550
DB01183,P35372
DB01183,P41143
DB01183,P41145
DB01184,P14416
DB01184,P35462
DB01186,P14416
DB01186,P35462
DB01186,P21917
DB01186,P08908
DB01186,P41595
DB01186,P28223
DB01186,P28221
DB01186,P08913
DB01186,P18089
DB01186,P18825
DB01186,P21918
DB01186,P21728
DB01186,P28222
DB01186,P28335
DB01186,P35348
DB01186,P35368
DB01186,P25100
DB01191,P28335
DB01192,P35372
DB01192,P41143
DB01193,P08588
DB01193,P07550
DB01197,P46663
DB01200,P14416
DB01200,P35462
DB01200,P28221
DB01200,P08913
DB01200,P08908
DB01200,P18825
DB01200,P18089
DB01200,P41595
DB01200,P21917
DB01200,P28223
DB01200,P28222
DB01200,P28335
DB01200,P21918
DB01200,P21728
DB01200,P35348
DB01200,P35368
DB01200,P25100
DB01200,P34969
DB01203,P08588
DB01203,P07550
DB01209,P35372
DB01209,P41145
DB01210,P07550
DB01210,P08588
DB01214,P07550
DB01214,P08588
DB01221,P25103
DB01221,P14416
DB01221,P41143
DB01221,P41145
DB01221,P35372
DB01221,P11229
DB01221,P08172
DB01221,P20309
DB01221,P08173
DB01221,P08912
DB01221,P28223
DB01221,P41595
DB01221,P28335
DB01221,P08908
DB01221,P28222
DB01221,P28221
DB01223,P30542
DB01224,P28223
DB01224,P14416
DB01224,P08908
DB01224,P28222
DB01224,P28221
DB01224,P28335
DB01224,P50406
DB01224,P34969
DB01224,P21728
DB01224,P21918
DB01224,P35462
DB01224,P21917
DB01224,P35367
DB01224,P35348
DB01224,P35368
DB01224,P25100
DB01224,P08913
DB01224,P18089
DB01224,P18825
DB01224,P11229
DB01224,P08172
DB01224,P20309
DB01224,P08173
DB01224,P08912
DB01226,P08172
DB01226,P20309
DB01227,P35372
DB01231,P11229
DB01231,P20309
DB01231,P08172
DB01233,P14416
DB01233,P11229
DB01233,Q13639
DB01235,P21728
DB01235,P21918
DB01235,P14416
DB01235,P35462
DB01235,P21917
DB01238,P08908
DB01238,P14416
DB01238,P28223
DB01238,P35348
DB01238,P35368
DB01238,P35462
DB01238,P28221
DB01238,P34969
DB01238,P08913
DB01238,P18825
DB01238,P35367
DB01238,P28222
DB01238,P28335
DB01238,P50406
DB01238,P21728
DB01238,P21917
DB01238,P18089
DB01238,P21918
DB01238,P41595
DB01238,P47898
DB01238,P08588
DB01238,P07550
DB01238,P25021
DB01238,Q9Y5N1
DB01238,Q9H3N8
DB01238,P11229
DB01238,P08172
DB01238,P20309
DB01238,P08173
DB01238,P08912
DB01238,P41145
DB01238,P35372
DB01238,P41143
DB01239,P14416
DB01239,P21728
DB01239,P35462
DB01239,P28223
DB01239,P35367
DB01239,P11229
DB01239,P08172
DB01239,P20309
DB01239,P08173
DB01239,P08912
DB01239,P08908
DB01239,P28222
