drugbank,uniprot
DB00308,O00180
DB00308,Q9Y257
DB00308,Q9H252
DB00308,Q9NS40
DB00308,Q14654
DB00312,P14867
DB00312,P47869
DB00312,P34903
DB00312,P48169
DB00312,P31644
DB00312,Q16445
DB00312,P43681
DB00312,P36544
DB00312,P42262
DB00312,Q13002
DB00312,P18505
DB00312,P47870
DB00312,P28472
DB00312,O14764
DB00312,P78334
DB00312,Q8N1C3
DB00312,P18507
DB00312,Q99928
DB00312,Q9UN88
DB00312,Q05586
DB00312,Q12879
DB00312,Q13224
DB00312,Q14957
DB00312,O15399
DB00312,Q8TCU5
DB00312,O60391
DB00313,P35498
DB00313,Q9Y5Y9
DB00313,Q9UI33
DB00313,Q99250
DB00313,Q9NY46
DB00313,P35499
DB00313,Q14524
DB00313,Q01118
DB00313,Q9UQD0
DB00313,Q15858
DB00313,Q07699
DB00313,O60939
DB00313,Q9NY72
DB00313,Q8IWT1
DB00316,Q8NER1
DB00321,O43526
DB00321,Q09470
DB00321,O43525
DB00321,Q12809
DB00321,Q9H252
DB00321,Q9NS40
DB00333,Q05586
DB00333,Q12879
DB00333,Q13224
DB00333,Q14957
DB00333,O15399
DB00333,Q8TCU5
DB00333,O60391
DB00333,P46098
DB00333,P36544
DB00333,P32297
DB00333,P43681
DB00333,P17787
DB00334,P46098
DB00334,P14867
DB00334,P47869
DB00334,P34903
DB00334,P31644
DB00334,Q8N1C3
DB00334,P18507
DB00334,Q99928
DB00342,Q12809
DB00343,Q06432
DB00343,Q13936
DB00346,Q12809
DB00347,O43497
DB00349,P14867
DB00349,P47869
DB00349,P34903
DB00349,P48169
DB00349,P31644
DB00349,Q16445
DB00349,P18505
DB00349,P47870
DB00349,P28472
DB00349,O14764
DB00349,P78334
DB00349,Q8N1C3
DB00349,P18507
DB00349,Q99928
DB00349,Q9UN88
DB00350,P48048
DB00356,Q12791
DB00363,P46098
DB00371,P14867
DB00371,P47869
DB00371,P34903
DB00371,P48169
DB00371,P31644
DB00371,Q16445
DB00371,P18505
DB00371,P47870
DB00371,P28472
DB00371,O14764
DB00371,P78334
DB00371,Q8N1C3
DB00371,P18507
DB00371,Q99928
DB00371,Q9UN88
DB00377,P46098
DB00379,Q14524
DB00381,Q13936
DB00381,Q00975
DB00381,Q02641
DB00381,Q9P0X4
DB00384,P51170
DB00384,P37088
DB00384,P51168
DB00384,P51172
DB00392,Q8TCU5
DB00393,Q13936
DB00393,Q01668
DB00393,O60840
DB00393,Q13698
DB00393,Q02641
DB00393,Q08289
DB00393,P54284
DB00393,O00305
DB00395,P14867
DB00395,P47870
DB00395,P18507
DB00395,P31644
DB00395,P34903
DB00401,Q13936
DB00401,P54289
DB00401,Q08289
DB00401,Q01668
DB00401,Q13698
DB00402,P14867
DB00402,P47869
DB00402,P34903
DB00402,P48169
DB00402,P31644
DB00402,Q16445
DB00402,P18505
DB00402,P47870
DB00402,P28472
DB00402,O14764
DB00402,P78334
DB00402,Q8N1C3
DB00402,P18507
DB00402,Q99928
DB00402,Q9UN88
DB00404,P14867
DB00404,P47869
DB00404,P34903
DB00404,P48169
DB00404,P31644
DB00404,Q16445
DB00404,P18505
DB00404,P47870
DB00404,P28472
DB00404,O14764
DB00404,P78334
DB00404,Q8N1C3
DB00404,P18507
DB00404,Q99928
DB00404,Q9UN88
DB00408,P46098
DB00411,Q15822
DB00414,P48048
DB00416,Q15822
DB00418,P14867
DB00418,P47869
DB00418,P34903
DB00418,P48169
DB00418,P31644
DB00418,Q16445
DB00418,P43681
DB00418,P36544
DB00418,P42262
DB00418,Q13002
DB00418,Q05586
DB00418,Q12879
DB00418,Q13224
DB00418,Q14957
DB00418,O15399
DB00418,Q8TCU5
DB00418,O60391
DB00421,Q06432
DB00421,Q9Y698
DB00421,O60359
DB00421,Q9UBN1
