uniprot,pathway_id,database
P19099,hsa04925,kegg
P08686,hsa04925,kegg
P30556,hsa04925,kegg
P14060,hsa04925,kegg
P26439,hsa04925,kegg
Q14643,hsa04925,kegg
Q14571,hsa04925,kegg
Q14573,hsa04925,kegg
P48544,hsa04925,kegg
O14649,hsa04925,kegg
Q01718,hsa04925,kegg
P18846,hsa04925,kegg
P18848,hsa04925,kegg
P05023,hsa04925,kegg
P50993,hsa04925,kegg
P13637,hsa04925,kegg
P16066,hsa04925,kegg
P20020,hsa04925,kegg
Q01814,hsa04925,kegg
Q16720,hsa04925,kegg
P23634,hsa04925,kegg
Q9NPC2,hsa04925,kegg
O00408,hsa04925,kegg
P01189,hsa04925,kegg
P17612,hsa04925,kegg
P22694,hsa04925,kegg
P17252,hsa04925,kegg
P05771,hsa04925,kegg
Q02156,hsa04925,kegg
P05129,hsa04925,kegg
Q15139,hsa04925,kegg
Q8IU85,hsa04925,kegg
Q13936,hsa04925,kegg
Q01668,hsa04925,kegg
O60840,hsa04925,kegg
Q13698,hsa04925,kegg
P0DP23,hsa04925,kegg
Q9UQM7,hsa04925,kegg
Q13554,hsa04925,kegg
Q13557,hsa04925,kegg
Q13555,hsa04925,kegg
Q14012,hsa04925,kegg
Q9P0X4,hsa04925,kegg
O95180,hsa04925,kegg
O43497,hsa04925,kegg
P01889,hsa05330,kegg
P01579,hsa05330,kegg
P60568,hsa05330,kegg
P01375,hsa05330,kegg
Q9UNK4,hsa00592,kegg
P09110,hsa00592,kegg
Q9NZK7,hsa00592,kegg
Q15067,hsa00592,kegg
P04054,hsa00592,kegg
P14555,hsa00592,kegg
P47712,hsa00592,kegg
O95864,hsa00592,kegg
P30405,hsa05010,kegg
Q13509,hsa05010,kegg
P68371,hsa05010,kegg
P11229,hsa05010,kegg
P20309,hsa05010,kegg
P08912,hsa05010,kegg
P36544,hsa05010,kegg
O15111,hsa05010,kegg
Q86Y39,hsa05010,kegg
P13073,hsa05010,kegg
P10606,hsa05010,kegg
Q02221,hsa05010,kegg
P14854,hsa05010,kegg
P09669,hsa05010,kegg
P24310,hsa05010,kegg
P24311,hsa05010,kegg
P15954,hsa05010,kegg
P10176,hsa05010,kegg
P48729,hsa05010,kegg
P68400,hsa05010,kegg
P19784,hsa05010,kegg
P35222,hsa05010,kegg
P04839,hsa05010,kegg
P07437,hsa05010,kegg
P31749,hsa05010,kegg
O75460,hsa05010,kegg
P18850,hsa05010,kegg
P42345,hsa05010,kegg
P04406,hsa05010,kegg
Q9Y5S8,hsa05010,kegg
Q05586,hsa05010,kegg
Q12879,hsa05010,kegg
Q13224,hsa05010,kegg
Q14957,hsa05010,kegg
O15399,hsa05010,kegg
P12235,hsa05010,kegg
P41594,hsa05010,kegg
P05141,hsa05010,kegg
P49841,hsa05010,kegg
Q99714,hsa05010,kegg
P14735,hsa05010,kegg
P02649,hsa05010,kegg
P05067,hsa05010,kegg
O14920,hsa05010,kegg
P01584,hsa05010,kegg
P05231,hsa05010,kegg
P01308,hsa05010,kegg
P06213,hsa05010,kegg
Q14643,hsa05010,kegg
Q14571,hsa05010,kegg
Q14573,hsa05010,kegg
O75251,hsa05010,kegg
P06858,hsa05010,kegg
P10636,hsa05010,kegg
P08473,hsa05010,kegg
P00846,hsa05010,kegg
P00395,hsa05010,kegg
P00403,hsa05010,kegg
P00414,hsa05010,kegg
P03886,hsa05010,kegg
P03891,hsa05010,kegg
P03897,hsa05010,kegg
P03905,hsa05010,kegg
P03901,hsa05010,kegg
P03915,hsa05010,kegg
P03923,hsa05010,kegg
P18848,hsa05010,kegg
