protein,pathway_id
P04004,WP5345
P04035,WP4189
P04035,WP4190
P04035,WP5011
P04035,WP5238
P04035,WP5220
P04040,WP2824
P04040,WP4442
P04040,WP4049
P04040,WP4999
P04049,WP1895
P04049,WP1981
P04049,WP5098
P04049,WP1823
P04049,WP2643
P04049,WP2735
P04049,WP3354
P04049,WP4098
P04049,WP2526
P04049,WP5344
P04049,WP5366
P04054,WP2740
P04054,WP4857
P04070,WP1794
P04070,WP2762
P04070,WP2799
P04070,WP4110
P04070,WP1818
P04070,WP5186
P04075,WP4093
P04075,WP1903
P04075,WP4049
P04075,WP1946
P04080,WP4049
P04083,WP4423
P04083,WP4419
P04083,WP3811
P04083,WP4066
P04083,WP4424
P04114,WP1885
P04114,WP1794
P04114,WP4129
P04114,WP2799
P04114,WP5066
P04114,WP4110
P04114,WP4065
P04114,WP3839
P04114,WP4069
P04114,WP3601
P04114,WP2784
P04114,WP4522
P04150,WP4414
P04150,WP4447
P04150,WP4058
P04150,WP1797
P04150,WP2840
P04150,WP4437
P04150,WP4999
P04155,WP4432
P04156,WP5013
P04156,WP1866
P04181,WP4595
P04181,WP5026
P04181,WP4992
P04181,WP497
P04196,WP1802
P04196,WP1903
P04217,WP1903
P04217,WP4049
P04264,WP4049
P04271,WP1781
P04271,WP2781
P04271,WP2656
P04271,WP1904
P04279,WP4101
P04406,WP4093
P04626,WP4086
P04626,WP2780
P04626,WP1907
P04626,WP2735
P04626,WP2653
P04626,WP5287
P04629,WP3594
P04629,WP1873
P04629,WP5373
P04637,WP2263
P04637,WP3823
P04637,WP1892
P04637,WP3816
P04637,WP3998
P04637,WP4107
P04637,WP3808
P04637,WP3959
P04637,WP3824
P04637,WP4102
P04637,WP3565
P04637,WP3349
P04637,WP5098
P04637,WP4995
P04637,WP2786
P04637,WP3308
P04637,WP3838
P04637,WP3804
P04637,WP4066
P04637,WP1815
P04637,WP3798
P04637,WP3594
P04637,WP1775
P04637,WP5220
P04637,WP5044
P04637,WP4016
P04637,WP3807
P04637,WP5055
P04637,WP1859
P04637,WP3404
P04637,WP3802
P04637,WP4047
P04637,WP3543
P04637,WP1841
P04637,WP5322
P04637,WP1971
P04637,WP5288
P04637,WP1984
P04637,WP5242
P04637,WP5381
P04731,WP3814
P04746,WP4104
P04818,WP4584
P04818,WP4688
P04818,WP1858
P04818,WP4059
P04818,WP3594
P04818,WP4259
P04818,WP4225
P04839,WP3396
P04839,WP2824
P04839,WP4049
P04839,WP3577
P04839,WP3551
P04839,WP1919
P04839,WP5356
P05023,WP3810
P05023,WP4098
P05067,WP1781
P05067,WP5013
P05067,WP4423
P05067,WP4419
P05067,WP5124
P05067,WP1903
P05067,WP3578
P05067,WP4115
P05067,WP2799
P05067,WP4110
P05067,WP2656
P05067,WP1904
P05067,WP2763
P05067,WP2059
P05067,WP3547
P05067,WP4424
P05067,WP5372
P05067,WP5381
P05089,WP4571
P05089,WP4595
P05089,WP4049
P05089,WP4973
P05089,WP4583
P05089,WP497
P05089,WP5078
P05089,WP5355
P05090,WP5012
P05090,WP1937
P05091,WP465
P05091,WP1870
P05091,WP4085
P05093,WP4524
P05093,WP2749
P05093,WP5320
P05093,WP5277
P05093,WP5393
P05106,WP4431
P05106,WP1794
P05106,WP1903
P05106,WP2787
P05106,WP1843
P05106,WP2735
P05106,WP2703
P05106,WP1919
P05106,WP2666
P05108,WP4085
P05108,WP2749
P05108,WP5320
P05108,WP5277
P05109,WP3396
P05109,WP4101
P05109,WP4049
P05109,WP4069
P05121,WP3355
P05121,WP2755
P05121,WP1802
P05121,WP1903
P05121,WP3594
P05121,WP2703
P05121,WP5242
P05121,WP5382
P05129,WP1903
P05129,WP4459
P05129,WP1978
P05129,WP3558
P05129,WP3594
P05129,WP2688
P05141,WP2684
P05141,WP1937
P05141,WP5355
P05155,WP1798
P05155,WP1903
P05155,WP1818
P05164,WP4991
P05164,WP4049
P05164,WP5347
P05165,WP5031
P05165,WP1857
P05165,WP4034
P05165,WP4686
P05166,WP5031
P05166,WP1857
P05166,WP4034
P05166,WP4686
P05177,WP4111
P05177,WP4085
P05177,WP2650
P05177,WP4439
P05177,WP3306
P05177,WP5324
P05177,WP5276
P05181,WP4085
P05181,WP4439
P05230,WP3338
P05230,WP3334
P05230,WP4448
P05230,WP3336
P05230,WP3335
P05230,WP2735
P05230,WP2839
P05230,WP2653
P05231,WP3391
P05231,WP2799
P05231,WP4122
P05231,WP5183
P05231,WP4063
P05231,WP4995
P05231,WP4110
P05231,WP4066
P05231,WP3332
P05231,WP3591
P05231,WP3594
P05231,WP5055
P05231,WP4993
P05231,WP5078
P05231,WP5347
P05231,WP5242
P05362,WP1829
P05362,WP1836
P05362,WP4063
P05362,WP4066
P05362,WP5055
P05362,WP5288
P05412,WP1845
P05412,WP3808
P05412,WP3391
P05412,WP5005
P05412,WP4115
