"drugbank_id","accession"
"DB00277","Q08499"
"DB00277","Q08493"
"DB00277","Q07343"
"DB00277","P27815"
"DB00277","Q13370"
"DB00277","Q14432"
"DB00277","P29274"
"DB00277","P29275"
"DB00277","P0DMS8"
"DB00277","P30542"
"DB00278","P00734"
"DB00279","P10827"
"DB00279","P10828"
"DB00281","Q15858"
"DB00281","P35499"
"DB00281","Q9UI33"
"DB00281","P35498"
"DB00281","Q9UQD0"
"DB00281","Q99250"
"DB00281","Q01118"
"DB00281","Q14524"
"DB00281","Q9Y5Y9"
"DB00281","Q9NY46"
"DB00287","P43088"
"DB00288","P04150"
"DB00292","P34903"
"DB00292","O14764"
"DB00292","Q8N1C3"
"DB00292","P47869"
"DB00292","P18507"
"DB00292","Q16445"
"DB00292","P48169"
"DB00292","P14867"
"DB00292","P31644"
"DB00292","Q99928"
"DB00292","P47870"
"DB00292","P78334"
"DB00292","O00591"
"DB00292","P28472"
"DB00292","Q9UN88"
"DB00292","P18505"
"DB00293","P04818"
"DB00294","P06401"
"DB00297","P35499"
"DB00299","P04293"
"DB00301","P0AD65"
"DB00301","P08506"
"DB00301","P0AEB2"
"DB00301","P0AD68"
"DB00301","P02918"
"DB00301","P24228"
"DB00301","P02919"
"DB00302","P00747"
"DB00304","P06401"
"DB00306","P34903"
"DB00306","O14764"
"DB00306","Q8N1C3"
"DB00306","P47869"
"DB00306","P18507"
"DB00306","Q16445"
"DB00306","P48169"
"DB00306","P14867"
"DB00306","P31644"
"DB00306","Q99928"
"DB00306","P47870"
"DB00306","P78334"
"DB00306","O00591"
"DB00306","P28472"
"DB00306","Q9UN88"
"DB00306","P18505"
"DB00307","P28702"
"DB00307","P19793"
"DB00307","P48443"
"DB00310","P55017"
"DB00311","P22748"
"DB00311","P35218"
"DB00311","O43570"
"DB00311","Q9ULX7"
"DB00311","Q9Y2D0"
"DB00311","Q8N1Q1"
"DB00311","P00915"
"DB00311","P07451"
"DB00311","Q16790"
"DB00311","P43166"
"DB00311","P23280"
"DB00311","P00918"
"DB00312","P34903"
"DB00312","O14764"
"DB00312","Q8N1C3"
"DB00312","P47869"
"DB00312","P18507"
"DB00312","Q16445"
"DB00312","P48169"
"DB00312","P14867"
"DB00312","P31644"
"DB00312","Q99928"
"DB00312","P47870"
"DB00312","P78334"
"DB00312","O00591"
"DB00312","P28472"
"DB00312","Q9UN88"
"DB00312","P18505"
"DB00313","P51649"
"DB00315","P28221"
"DB00315","P28222"
"DB00316","Q8NER1"
"DB00316","P23219"
"DB00316","P35354"
"DB00316","O00519"
"DB00317","P00533"
"DB00322","P04818"
"DB00323","P21964"
"DB00324","P04150"
"DB00328","P23219"
"DB00328","P35354"
"DB00334","P21917"
"DB00334","P14416"
"DB00334","P35462"
"DB00334","P28223"
"DB00334","P28335"
"DB00335","P08588"
"DB00337","P62942"
"DB00338","P51164"
"DB00338","P20648"
"DB00339","P9WHD1"
"DB00339","P9WHC5"
"DB00339","P9WHB1"
"DB00339","P9WHE1"
"DB00339","P9WHC1"
"DB00339","P9WH33"
"DB00339","P9WH35"
"DB00339","P9WHE3"
"DB00339","P9WHC9"
"DB00339","P9WH41"
"DB00339","P9WHC7"
"DB00339","P9WH59"
"DB00339","P9WHA5"
"DB00339","P9WH97"
"DB00339","P9WHB9"
"DB00339","P9WH29"
"DB00339","P9WH31"
"DB00339","P9WH39"
"DB00339","P9WHE7"
"DB00339","P9WH63"
"DB00339","P9WH79"
"DB00339","P9WH45"
"DB00339","P9WHA1"
"DB00339","P9WH91"
"DB00339","P9WH87"
"DB00339","P9WH89"
"DB00339","P9WHD5"
"DB00339","P9WHD9"
"DB00339","P9WH83"
"DB00339","P9WHD3"
"DB00339","P9WHC3"
"DB00339","P9WH49"
"DB00339","P9WH61"
"DB00339","P9WH37"
"DB00339","P9WH53"
"DB00339","P9WHE5"
"DB00339","P9WHB7"
"DB00339","P9WHA3"
"DB00339","P9WHB3"
"DB00339","P9WH99"
"DB00339","P9WH85"
"DB00339","P9WH43"
"DB00339","P9WHA7"
"DB00339","P9WH47"
"DB00339","P9WHB5"
"DB00339","P9WH65"
"DB00339","P9WH51"
"DB00339","P9WH93"
"DB00339","P9WH67"
"DB00339","P9WH81"
"DB00339","P9WHD7"
"DB00339","P9WH27"
"DB00339","P9WH25"
"DB00339","P9WH95"
"DB00339","P9WH55"
"DB00339","P9WHA9"
"DB00339","P9WH57"
"DB00339","P95029"
"DB00342","P35367"
"DB00347","Q9P0X4"
"DB00347","O43497"
"DB00347","O95180"
"DB00348","P32754"
"DB00349","P34903"
"DB00349","O14764"
"DB00349","Q8N1C3"
"DB00349","P47869"
"DB00349","P18507"
"DB00349","Q16445"
"DB00349","P48169"
"DB00349","P14867"
"DB00349","P31644"
"DB00349","Q99928"
"DB00349","P47870"
"DB00349","P78334"
"DB00349","O00591"
"DB00349","P28472"
"DB00349","Q9UN88"
"DB00349","P18505"
"DB00350","Q14654"
"DB00350","O60706"
"DB00351","P06401"
"DB00352","P20839"
"DB00352","P12268"
"DB00355","P0AD65"
"DB00355","P08506"
"DB00355","P0AEB2"
"DB00355","P0AD68"
"DB00355","P02918"
"DB00355","P24228"
"DB00355","P02919"
"DB00356","O15554"
"DB00357","P05108"
"DB00357","P11511"
"DB00359","P0AC13"
"DB00362","O13428"
"DB00363","P28223"
"DB00363","P14416"
"DB00367","P06401"
"DB00369","P04293"
"DB00370","P08913"
"DB00370","P18825"
"DB00370","P18089"
"DB00370","P28223"
"DB00370","P28335"
"DB00371","P34903"
"DB00371","O14764"
"DB00371","Q8N1C3"
"DB00371","P47869"
"DB00371","P18507"
"DB00371","Q16445"
"DB00371","P48169"
"DB00371","P14867"
"DB00371","P31644"
"DB00371","Q99928"
"DB00371","P47870"
"DB00371","P78334"
"DB00371","O00591"
"DB00371","P28472"
"DB00371","Q9UN88"
"DB00371","P18505"
"DB00373","P07550"
"DB00373","P08588"
"DB00374","P43119"
"DB00378","P06401"
"DB00384","P51170"
"DB00384","P51168"
"DB00384","P37088"
"DB00385","P11388"
"DB00389","P07202"
"DB00390","P13637"
"DB00390","P50993"
"DB00390","P54710"
"DB00390","P05026"
"DB00390","P54709"
"DB00390","Q13733"
"DB00390","P05023"
"DB00390","P14415"
"DB00391","P14416"
"DB00393","Q13936"
"DB00393","O60840"
"DB00393","Q01668"
"DB00393","Q13698"
"DB00393","P08235"
"DB00394","P04150"
"DB00396","P06401"
"DB00399","P14324"
"DB00400","F2SG63"
"DB00400","F2SZ02"
"DB00400","F2SZD3"
"DB00401","Q13936"
"DB00401","O60840"
"DB00401","Q01668"
"DB00401","Q13698"
"DB00402","P34903"
"DB00402","O14764"
"DB00402","Q8N1C3"
"DB00402","P47869"
"DB00402","P18507"
"DB00402","Q16445"
"DB00402","P48169"
"DB00402","P14867"
"DB00402","P31644"
"DB00402","Q99928"
"DB00402","P47870"
"DB00402","P78334"
"DB00402","O00591"
"DB00402","P28472"
"DB00402","Q9UN88"
"DB00402","P18505"
"DB00404","P34903"
"DB00404","O14764"
"DB00404","Q8N1C3"
"DB00404","P47869"
"DB00404","P18507"
"DB00404","Q16445"
"DB00404","P48169"
"DB00404","P14867"
"DB00404","P31644"
"DB00404","Q99928"
"DB00404","P47870"
"DB00404","P78334"
"DB00404","O00591"
"DB00404","P28472"
"DB00404","Q9UN88"
"DB00404","P18505"
"DB00408","P21917"
"DB00408","P14416"
"DB00408","P35462"
"DB00408","P28223"
"DB00408","P28335"
"DB00409","P14416"
"DB00410","Q99YW3"
"DB00410","P41972"
"DB00414","Q09428"
"DB00414","Q14654"
"DB00415","P0AD65"
"DB00415","P08506"
"DB00415","P0AEB2"
"DB00415","P0AD68"
"DB00415","P02918"
"DB00415","P24228"
"DB00415","P02919"
"DB00416","Q07001"
"DB00416","P11230"
"DB00416","Q04844"
"DB00416","P02708"
"DB00416","P07510"
"DB00417","P0AD65"
"DB00417","P08506"
"DB00417","P0AEB2"
"DB00417","P0AD68"
"DB00417","P02918"
"DB00417","P24228"
"DB00417","P02919"
"DB00419","Q16739"
"DB00421","P08235"
"DB00422","P23975"
"DB00422","Q01959"
"DB00423","P00915"
"DB00426","P04293"
"DB00429","P43088"
"DB00431","H9U2W1"
"DB00431","H9U2V9"
"DB00431","H9U2W0"
"DB00431","E0V9W2"
"DB00431","E0VY07"
"DB00431","E0W492"
"DB00433","P14416"
"DB00435","O75343"
"DB00435","Q02153"
"DB00435","P33402"
"DB00435","Q02108"
"DB00436","P55017"
"DB00437","P47989"
"DB00438","P0AD65"
"DB00438","P08506"
"DB00438","P0AEB2"
"DB00438","P0AD68"
"DB00438","P02918"
"DB00438","P24228"
"DB00438","P02919"
"DB00440","P0ABQ4"
"DB00442","Q9IF40"
"DB00443","P04150"
"DB00444","P11388"
"DB00444","Q02880"
"DB00446","P0A7R9"
"DB00446","P0C018"
"DB00446","P0A7N4"
"DB00446","P0A7T3"
"DB00446","P0A7V0"
"DB00446","P0AG44"
"DB00446","P0A7L0"
"DB00446","P60422"
"DB00446","P0AG51"
"DB00446","P0ADZ4"
"DB00446","P0A7N9"
"DB00446","P0AG63"
"DB00446","P0AG59"
"DB00446","P60723"
"DB00446","P0A7S3"
"DB00446","P0AG67"
"DB00446","P0ADY3"
"DB00446","P0A7J3"
"DB00446","P0A7J7"
"DB00446","P0AG48"
"DB00446","P68919"
"DB00446","P0AA10"
"DB00446","P0A7S9"
"DB00446","P0A7R5"
"DB00446","P68679"
"DB00446","P60624"
"DB00446","P0A7T7"
"DB00446","P0A7N1"
"DB00446","P0A7M6"
"DB00446","P0A7M9"
"DB00446","P0A7X3"
"DB00446","P0A7Q1"
"DB00446","Q2EEQ2"
"DB00446","P0A7Q6"
"DB00446","P62399"
"DB00446","P0A7K6"
"DB00446","P0A7U7"
"DB00446","P0A7P5"
"DB00446","P0AG55"
"DB00446","P0A7W1"
"DB00446","P0A7V3"
"DB00446","P0ADZ0"
"DB00446","P0A7U3"
"DB00446","P0A7K2"
"DB00446","P02358"
"DB00446","P0A7V8"
"DB00446","P0A7W7"
"DB00446","P0A7M2"
"DB00446","P60438"
"DB00446","P02359"
"DB00446","P0ADY7"
"DB00446","P0A7L8"
"DB00446","P0A7L3"
"DB00446","P02413"
"DB00446","P61175"
"DB00448","P51164"
"DB00448","P20648"
"DB00450","P21917"
"DB00450","P14416"
"DB00450","P35462"
"DB00450","P28223"
"DB00455","P35367"
"DB00459","P28702"
"DB00459","P19793"
"DB00459","P48443"
"DB00459","P13631"
"DB00459","P10276"
"DB00459","P10826"
"DB00461","P35354"
"DB00462","P20309"
"DB00462","P11229"
"DB00463","P34903"
"DB00463","O14764"
"DB00463","Q8N1C3"
"DB00463","P47869"
"DB00463","P18507"
"DB00463","Q16445"
"DB00463","P48169"
"DB00463","P14867"
"DB00463","P31644"
"DB00463","Q99928"
"DB00463","P47870"
"DB00463","P78334"
"DB00463","O00591"
"DB00463","P28472"
"DB00463","Q9UN88"
"DB00463","P18505"
"DB00467","P22118"
"DB00467","P48371"
"DB00467","Q5EP76"
"DB00467","P48374"
"DB00470","P21554"
"DB00475","P34903"
"DB00475","O14764"
"DB00475","Q8N1C3"
"DB00475","P47869"
"DB00475","P18507"
"DB00475","Q16445"
"DB00475","P48169"
"DB00475","P14867"
"DB00475","P31644"
"DB00475","Q99928"
"DB00475","P47870"
"DB00475","P78334"
"DB00475","O00591"
"DB00475","P28472"
"DB00475","Q9UN88"
"DB00475","P18505"
"DB00477","P21917"
"DB00477","P14416"
"DB00477","P35462"
"DB00477","P28223"
"DB00480","Q16531"
"DB00480","P62877"
"DB00480","Q96SW2"
"DB00480","Q13619"
"DB00482","P35354"
"DB00483","Q07001"
"DB00483","P11230"
"DB00483","Q04844"
"DB00483","P02708"
"DB00483","P07510"
"DB00487","P0AES4"
"DB00487","P0AES6"
"DB00487","P0AFI2"
"DB00487","P20083"
"DB00491","O43451"
"DB00491","P10253"
"DB00494","P21964"
"DB00495","Q72547"
"DB00497","P35372"
"DB00498","Q9BQB6"
"DB00499","P10275"
"DB00501","P25021"
"DB00502","P21917"
"DB00502","P14416"
"DB00502","P35462"
"DB00502","P28223"
"DB00503","P24462"
"DB00503","P08684"
"DB00503","Q9HB55"
"DB00503","P20815"
"DB00503","Q72874"
"DB00507","Q968X7"
"DB00507","Q24982"
