Drug,Protein
DB00539,P03372
DB00540,P23975
DB00540,P31645
DB00542,P12821
DB00543,P35462
DB00543,P21728
DB00543,P21918
DB00543,P21917
DB00543,P14416
DB00543,P23975
DB00543,P31645
DB00544,P04818
DB00545,P22303
DB00547,P04150
DB00549,Q9Y271
DB00550,P07202
DB00552,P00813
DB00554,P35354
DB00554,P23219
DB00555,P35498
DB00555,P35499
DB00555,Q9Y5Y9
DB00555,Q9UQD0
DB00555,Q9UI33
DB00555,Q9NY46
DB00555,Q15858
DB00555,Q99250
DB00555,Q14524
DB00555,Q01118
DB00557,P35367
DB00559,P25101
DB00559,P24530
DB00561,O14649
DB00561,Q9NPC2
DB00562,P55017
DB00563,P00374
DB00564,P35498
DB00564,P35499
DB00564,Q9Y5Y9
DB00564,Q9UQD0
DB00564,Q9UI33
DB00564,Q9NY46
DB00564,Q15858
DB00564,Q99250
DB00564,Q14524
DB00564,Q01118
DB00565,P02708
DB00568,O60840
DB00568,Q01668
DB00568,Q13936
DB00568,Q13698
DB00568,P35367
DB00569,P01008
DB00570,P07437
DB00570,Q71U36
DB00570,Q13509
DB00570,Q9H4B7
DB00570,P68366
DB00570,P68371
DB00571,P07550
DB00571,P08588
DB00572,P08172
DB00572,P11229
DB00572,P20309
DB00573,P35354
DB00573,P23219
DB00574,P28221
DB00574,P28335
DB00574,Q99720
DB00575,P18825
DB00575,P08913
DB00575,P18089
DB00579,P31645
DB00579,Q01959
DB00579,P23975
DB00580,P35354
DB00584,P12821
DB00585,P25021
DB00586,P35354
DB00586,P23219
DB00588,P04150
DB00590,P35368
DB00590,P35348
DB00590,P25100
DB00591,P04150
DB00593,O43497
DB00593,O95180
DB00593,Q9P0X4
DB00594,P51168
DB00594,P51170
DB00594,P37088
DB00598,P08913
DB00598,P35348
DB00598,P08588
DB00598,P07550
DB00598,P35368
DB00598,P18089
DB00598,P18825
DB00598,P13945
DB00598,P25100
DB00599,P14867
DB00599,P18507
DB00599,Q8N1C3
DB00599,O14764
DB00599,P31644
DB00599,P47870
DB00599,P18505
DB00599,Q16445
DB00599,P34903
DB00599,P28472
DB00599,Q99928
DB00599,P47869
DB00599,Q9UN88
DB00599,P78334
DB00599,P48169
DB00600,P14679
DB00603,P06401
DB00605,P35354
DB00605,P23219
DB00606,P55017
DB00610,P35368
DB00610,P35348
DB00610,P25100
DB00612,P08588
DB00617,O43497
DB00617,O95180
DB00617,Q9P0X4
DB00619,P00519
DB00619,P09619
DB00619,P10721
DB00619,P11274
DB00620,P04150
DB00621,P10275
DB00622,O60840
DB00622,Q01668
DB00622,Q13936
DB00622,Q13698
DB00623,P14416
DB00624,P10275
DB00628,P14867
DB00628,P18507
DB00628,Q8N1C3
DB00628,O14764
DB00628,P31644
DB00628,P47870
DB00628,P18505
DB00628,Q16445
DB00628,P34903
DB00628,P28472
DB00628,Q99928
DB00628,P47869
DB00628,Q9UN88
DB00628,P78334
DB00628,P48169
DB00630,P14324
DB00631,Q7LG56
DB00631,P31350
DB00631,P23921
DB00631,Q14181
DB00631,Q9NRF9
DB00631,P56282
DB00631,P09884
DB00631,Q07864
DB00633,P18825
DB00633,P08913
DB00633,P18089
DB00635,P04150
DB00636,Q07869
DB00637,P35367
DB00640,P29274
DB00640,P29275
DB00640,P30542
DB00641,P04035
DB00642,P04818
DB00642,P00374
DB00642,P22102
DB00645,P35498
DB00645,P35499
DB00645,Q9Y5Y9
DB00645,Q9UQD0
DB00645,Q9UI33
DB00645,Q9NY46
DB00645,Q15858
DB00645,Q99250
DB00645,Q14524
DB00645,Q01118
DB00647,P35372
DB00648,P15538
DB00648,P05108
DB00651,P27815
DB00651,Q07343
DB00651,Q08493
DB00651,Q08499
DB00651,Q14432
