Drug,Protein
DB06637,Q9BQ31
DB06637,Q09470
DB06637,P48547
DB06637,Q9H252
DB06637,Q9NSA2
DB06637,P22001
DB06637,Q8NCM2
DB06637,Q96RP8
DB06637,Q14003
DB06637,P17658
DB06637,O43526
DB06637,Q9UJ96
DB06637,Q03721
DB06637,P16389
DB06637,Q96L42
DB06637,P51787
DB06637,Q9NZV8
DB06637,Q9UK17
DB06637,Q12809
DB06637,P22459
DB06637,Q9ULD8
DB06637,P22460
DB06637,Q9UIX4
DB06637,Q9UQ05
DB06654,P27338
DB06684,P08908
DB06684,P31645
DB06691,P35367
DB06694,P08913
DB06694,P35368
DB06694,P18089
DB06694,P25100
DB06694,P18825
DB06694,P35348
DB06695,P00734
DB06698,P35367
DB06698,Q9Y5N1
DB06699,P30968
DB06700,P23975
DB06700,P31645
DB06701,P23975
DB06701,Q01959
DB06702,P08172
DB06702,P20309
DB06707,P18825
DB06707,P08913
DB06707,P18089
DB06709,P20309
DB06710,P10275
DB06711,P08913
DB06711,P35368
DB06711,P18089
DB06711,P25100
DB06711,P18825
DB06711,P35348
DB06712,O60840
DB06712,Q01668
DB06712,Q13936
DB06712,Q13698
DB06718,P10275
DB06725,P35354
DB06725,P23219
DB06736,P35354
DB06751,P27815
DB06751,Q07343
DB06751,Q08493
DB06751,Q08499
DB06764,P08913
DB06764,P35368
DB06764,P18089
DB06764,P25100
DB06764,P18825
DB06764,P35348
DB06766,P35367
DB06772,P07437
DB06772,Q71U36
DB06772,Q13509
DB06772,Q9H4B7
DB06772,P68366
DB06772,P68371
DB06774,Q8NER1
DB06775,P31327
DB06777,Q96RI1
DB06780,P08235
DB06781,P04150
DB06786,P04150
DB06787,P11229
DB06787,P20309
DB06789,P06401
DB06802,P35354
DB06802,P23219
DB06809,P61073
DB06813,P00374
DB06814,P07550
DB06825,P30968
DB08329,P00915
DB08329,O43570
DB08329,P07451
DB08329,P00918
DB08329,Q16790
DB08329,Q9ULX7
DB08329,P22748
DB08329,P35218
DB08439,P35354
DB08799,P35367
DB08801,P35367
DB08804,P10275
DB08815,P14416
DB08815,P28223
DB08816,Q9H244
DB08819,P43088
DB08820,P13569
DB08822,P30556
DB08827,P07237
DB08827,P55157
DB08828,Q99835
DB08860,P04035
DB08865,Q9UM73
DB08865,P08581
DB08867,P06401
DB08868,O95977
DB08868,P21453
DB08868,Q99500
DB08868,Q9H228
DB08871,P07437
DB08871,Q71U36
DB08871,Q13509
DB08871,Q9H4B7
DB08871,P68366
DB08871,P68371
DB08872,Q9BXT2
DB08872,Q8WXS5
DB08872,Q13936
DB08872,Q15878
DB08872,Q9Y698
DB08872,O60359
DB08872,Q06432
DB08872,Q9P0X4
DB08872,P54289
DB08872,Q02641
DB08872,Q9UF02
DB08872,O00555
DB08872,P54284
DB08872,Q00975
DB08872,O00305
DB08872,Q08289
DB08872,O43497
DB08872,Q13698
DB08872,Q9UBN1
DB08872,P62955
DB08872,O60840
DB08872,O95180
DB08872,Q7Z3S7
DB08872,Q01668
DB08875,P35968
DB08875,P08581
DB08877,P23458
DB08877,O60674
DB08880,Q02127
DB08881,P15056
DB08882,P27487
DB08883,P42261
DB08883,P42262
DB08883,P42263
DB08883,P48058
DB08889,P49721
DB08889,P28074
DB08889,P40306
DB08889,P28062
DB08889,P20618
DB08889,P28065
DB08890,P25092
DB08893,P13945
DB08895,P23458
DB08895,P52333
DB08895,O60674
DB08895,P29597
DB08896,P00519
DB08896,P04049
DB08896,P10721
DB08896,P07949
DB08896,P29317
DB08896,P09619
DB08896,P16234
DB08896,P35916
DB08896,P35968
DB08896,P17948
DB08896,P04629
DB08896,P11362
DB08896,Q15759
DB08896,Q02763
DB08896,P21802
DB08896,P42685
DB08896,Q16832
DB08896,P15056
DB08897,P20309
DB08899,P10275
DB08901,P00519
DB08901,P11274
DB08906,P04150
DB08907,P31639
DB08908,Q14145
DB08910,Q96SW2
DB08911,P36507
DB08911,Q02750
DB08912,P15056
DB08916,P04626
DB08916,P00533
DB08916,Q15303
DB08918,P23975
DB08918,P31645
DB08932,P25101
DB08932,P24530
DB09026,P00797
DB09030,P25116
DB09034,O43613
DB09034,O43614
DB09038,P31639
DB09039,Q16739
DB09048,P25103
DB09049,P35372
DB09053,Q06187
DB09054,O00329
DB09059,P30559
DB09061,P21554
DB09063,Q9UM73
DB09064,Q07869
DB09068,P46098
DB09068,P08908
DB09068,P31645
DB09071,P49286
DB09071,P48039
DB09073,P11802
DB09073,P24385
DB09073,Q00534
DB09074,Q9UGN5
DB09074,P09874
DB09074,Q9Y6F1
DB09075,P00742
DB09076,P20309
DB09078,P35916
DB09078,P35968
DB09078,P17948
DB09079,P09619
DB09079,P16234
DB09079,P22455
DB09079,P21802
DB09079,P22607
DB09079,P11362
DB09079,P35916
DB09079,P35968
DB09079,P17948
DB09080,P07550
DB09082,P07550
DB09085,P35498
DB09085,P35499
DB09085,Q9Y5Y9
DB09085,Q9UQD0
DB09085,Q9UI33
DB09085,Q9NY46
DB09085,Q15858
DB09085,Q99250
DB09085,Q14524
DB09085,Q01118
DB09099,P32745
DB09099,P30874
DB09099,P31391
DB09099,P30872
DB09099,P35346
DB09119,P35498
DB09119,P35499
DB09119,Q9Y5Y9
DB09119,Q9UQD0
DB09119,Q9UI33
DB09119,Q9NY46
DB09119,Q15858
DB09119,Q99250
DB09119,Q14524
DB09119,Q01118
DB09128,P08908
DB09128,P14416
DB09128,P28223
DB09143,Q99835
DB09167,P23975
DB09167,P31645
DB09185,P23975
DB09205,P08913
DB09205,P35368
DB09205,P18089
DB09205,P25100
DB09205,P18825
DB09205,P35348
DB09212,P35354
DB09212,P23219
DB09213,P35354
DB09213,P23219
DB09214,P35354
DB09214,P23219
DB09236,O60840
DB09236,Q01668
DB09236,Q13936
DB09236,Q13698
DB09237,O60840
DB09237,Q01668
DB09237,Q13936
DB09237,Q13698
DB09238,O60840
DB09238,Q01668
DB09238,Q13936
DB09238,Q13698
DB09256,P04818
DB09257,Q12882
DB09272,P35372
DB09280,P13569
DB09291,P25103
DB09292,P08473
DB09330,P00533
DB09343,P19971
DB09351,P08588
DB09371,P06401
DB09421,P34981
DB09477,P12821
DB09488,P35367
DB11148,Q9HBA0
DB11148,O75762
DB11186,Q99720
DB11362,P43119
DB11363,P07949
DB11363,Q9UM73
DB11560,Q96S37
DB11581,P10415
DB11591,P35367
DB11611,P20701
DB11614,P35367
DB11614,P25105
DB11632,P21964
DB11640,Q8TDN1
DB11640,P56696
DB11640,Q14721
DB11640,Q92953
DB11640,Q9H3M0
DB11640,O95259
DB11640,Q96PR1
DB11640,Q16322
DB11640,Q8TDN2
DB11640,Q8TAE7
DB11640,Q96KK3
DB11640,O43525
DB11640,Q6PIU1
DB11640,Q9NS40
DB11640,Q9NR82
DB11640,Q9BQ31
DB11640,Q09470
DB11640,P48547
DB11640,Q9H252
DB11640,Q9NSA2
DB11640,P22001
DB11640,Q8NCM2
DB11640,Q96RP8
DB11640,Q14003
DB11640,P17658
DB11640,O43526
DB11640,Q9UJ96
DB11640,Q03721
DB11640,P16389
DB11640,Q96L42
DB11640,P51787
DB11640,Q9NZV8
DB11640,Q9UK17
DB11640,Q12809
DB11640,P22459
DB11640,Q9ULD8
DB11640,P22460
DB11640,Q9UIX4
DB11640,Q9UQ05
DB11641,P07437
DB11641,Q71U36
DB11641,Q13509
DB11641,Q9H4B7
DB11641,P68366
DB11641,P68371
DB11642,Q9Y5N1
DB11644,P02766
DB11652,P04626
DB11660,P43088
DB11689,P36507
DB11689,Q02750
DB11691,P35372
DB11699,P46098
DB11699,A5X5Y0
DB11699,O95264
DB11699,Q70Z44
DB11699,Q8WXA8
DB11703,Q06187
DB11712,P13569
DB11718,P15056
DB11730,Q00534
DB11730,P11802
DB11757,P29274
DB11760,P09874
DB11760,Q9UGN5
DB11791,P08581
DB11817,P23458
DB11817,O60674
DB11823,O15399
DB11823,O60391
DB11823,Q05586
DB11823,Q13224
DB11823,Q8TCU5
DB11823,Q12879
DB11823,Q14957
DB11827,P31639
DB11828,P04626
DB11828,P00533
DB11828,Q15303
DB11837,P15538
DB11853,P30968
DB11855,P20309
DB11859,P14867
DB11859,P18507
DB11859,Q8N1C3
DB11859,O14764
DB11859,P31644
DB11859,P47870
DB11859,P18505
DB11859,Q16445
DB11859,P34903
DB11859,P28472
DB11859,Q99928
DB11859,P47869
DB11859,Q9UN88
DB11859,P78334
DB11859,P48169
DB11901,P10275
DB11921,P04150
DB11936,P53396
DB11942,O14980
DB11951,O43614
DB11951,O43613
DB11952,O00329
DB11952,P48736
DB11963,P04626
DB11963,P00533
DB11963,Q15303
DB11967,P36507
DB11967,Q02750
DB11978,Q99835
DB11979,P30968
DB11986,P04629
DB11986,Q16288
DB11986,Q16620
DB11986,Q9UM73
DB11986,P08922
DB12001,Q00534
DB12001,P11802
DB12010,P43405
DB12015,P42336
DB12130,Q9UM73
DB12141,P36888
DB12141,P30530
DB12147,P22455
DB12147,P21802
DB12147,P22607
DB12147,P11362
DB12267,P00533
DB12267,Q9UM73
DB12332,Q9UGN5
DB12332,P09874
DB12332,Q9Y6F1
DB12364,P00742
DB12371,P21453
DB12404,P14867
DB12404,P18507
DB12404,Q8N1C3
DB12404,O14764
DB12404,P31644
DB12404,P47870
DB12404,P18505
DB12404,Q16445
DB12404,P34903
DB12404,P28472
DB12404,Q99928
DB12404,P47869
DB12404,Q9UN88
DB12404,P78334
DB12404,P48169
DB12457,Q16602
DB12483,O00329
DB12483,P42336
DB12500,P36888
DB12500,O60674
DB12612,P21453
DB12783,P20711
DB12789,P43088
DB12887,Q15910
DB12941,P10275
DB12978,P07333
DB12978,P10721
DB12978,P36888
DB13074,Q92847
DB13139,P07550
DB13167,P23219
DB13269,P35498
DB13269,P35499
DB13269,Q9Y5Y9
DB13269,Q9UQD0
DB13269,Q9UI33
DB13269,Q9NY46
DB13269,Q15858
DB13269,Q99250
DB13269,Q14524
DB13269,Q01118
DB13501,P47989
DB13720,P11229
DB13720,P20309
DB13781,P08588
DB13783,P35354
DB13783,P23219
DB13873,Q07869
DB13874,P48735
DB13943,P10275
DB13944,P10275
DB13946,P10275
DB13952,P03372
DB13954,P03372
DB13956,P03372
DB14019,P25103
DB14185,P08908
DB14185,P14416
DB14185,P28223
DB14507,P29218
DB14507,P49840
DB14507,P49841
DB14509,P29218
DB14509,P49840
DB14509,P49841
DB14512,P04150
DB14539,P04150
DB14540,P04150
DB14541,P04150
DB14542,P04150
DB14543,P04150
DB14544,P04150
DB14568,O75874
DB14575,P35498
DB14575,P35499
DB14575,Q9Y5Y9
DB14575,Q9UQD0
DB14575,Q9UI33
DB14575,Q9NY46
DB14575,Q15858
DB14575,Q99250
DB14575,Q14524
DB14575,Q01118
DB14583,P06401
DB14596,P04150
DB14631,P04150
DB14642,P47901
DB14642,P30518
DB14642,P37288
DB14649,P04150
DB14669,P04150
DB14723,P04629
DB14723,Q16288
DB14723,Q16620
DB14840,P10721
DB14840,P16234
DB14845,P23458
DB14881,P35372
DB14895,P13945
DB14975,P68871
DB14975,P69905
DB15035,Q06187
DB15091,P23458
DB15091,P52333
DB15091,O60674
DB15091,P29597
DB15102,P22607
DB15102,P11362
DB15102,P21802
DB15233,P10721
DB15233,P16234
DB15328,Q16602
DB15444,P13569
DB15566,P04150
DB15685,P07949
DB15822,P07949
